session_id,indicator_code_merged,n_museums,n_sess_museums,indic_museum_pc,session_time,fn,fp,factor_upper,n_museums_upper,factor_lower,n_museums_lower,indic_museum_pc_upper,indic_museum_pc_lower
20210304,closed_cur,2253,3018,74.6520874751491,2021-03-04,0.101,0.0465,1.101,2480.553,0.9535,2148.2355000000002,82.19194831013917,71.18076540755467
20210404,closed_cur,2256,3032,74.40633245382587,2021-04-04,0.101,0.0465,1.101,2483.8559999999998,0.9535,2151.096,81.92137203166226,70.94643799472296
20210503,closed_cur,2149,3043,70.6210976010516,2021-05-03,0.101,0.0465,1.101,2366.049,0.9535,2049.0715,77.7538284587578,67.33721656260269
20210614,closed_cur,1984,3056,64.92146596858639,2021-06-14,0.101,0.0465,1.101,2184.384,0.9535,1891.7440000000001,71.47853403141362,61.90261780104712
20210629,closed_cur,1979,3057,64.73666993784757,2021-06-29,0.101,0.0465,1.101,2178.879,0.9535,1886.9765,71.27507360157016,61.726414785737646
20210712,closed_cur,1915,3050,62.78688524590164,2021-07-12,0.101,0.0465,1.101,2108.415,0.9535,1825.9525,69.12836065573771,59.86729508196722
20210809,closed_cur,1847,3042,60.71663379355687,2021-08-09,0.101,0.0465,1.101,2033.547,0.9535,1761.1145000000001,66.84901380670611,57.89331032215648
20210914,closed_cur,1761,3047,57.79455201837873,2021-09-14,0.101,0.0465,1.101,1938.8609999999999,0.9535,1679.1135,63.63180177223499,55.10710534952412
20211108,closed_cur,1757,3043,57.73907328294447,2021-11-08,0.101,0.0465,1.101,1934.4569999999999,0.9535,1675.2995,63.57071968452185,55.05420637528755
20211206,closed_cur,1744,3026,57.63384005287509,2021-12-06,0.101,0.0465,1.101,1920.144,0.9535,1662.904,63.454857898215465,54.953866490416395
20220103,closed_cur,1836,3032,60.554089709762536,2022-01-03,0.101,0.0465,1.101,2021.436,0.9535,1750.626,66.67005277044855,57.73832453825858
20220131,closed_cur,1817,3029,59.986794321558264,2022-01-31,0.101,0.0465,1.101,2000.517,0.9535,1732.5095000000001,66.04546054803566,57.19740838560582
20220228,closed_cur,1780,3038,58.59117840684661,2022-02-28,0.101,0.0465,1.101,1959.78,0.9535,1697.23,64.50888742593813,55.866688610928236
20220328,closed_cur,1759,3034,57.97626895187871,2022-03-28,0.101,0.0465,1.101,1936.6589999999999,0.9535,1677.2065,63.83187211601845,55.280372445616344
20220425,closed_cur,1729,3027,57.1192599933928,2022-04-25,0.101,0.0465,1.101,1903.629,0.9535,1648.6015,62.88830525272546,54.463214403700036
20220524,closed_cur,1715,3023,56.73172345352299,2022-05-24,0.101,0.0465,1.101,1888.215,0.9535,1635.2525,62.46162752232881,54.093698312934166
20210304,funding,1115,3018,36.944996686547384,2021-03-04,0.148,0.007,1.148,1280.02,0.993,1107.195,42.4128561961564,36.68638170974155
20210404,funding,1161,3032,38.29155672823219,2021-04-04,0.148,0.007,1.148,1332.828,0.993,1152.873,43.95870712401055,38.02351583113457
20210503,funding,1134,3043,37.26585606309563,2021-05-03,0.148,0.007,1.148,1301.8319999999999,0.993,1126.062,42.78120276043378,37.004995070653955
20210614,funding,1122,3056,36.71465968586388,2021-06-14,0.148,0.007,1.148,1288.0559999999998,0.993,1114.146,42.14842931937172,36.45765706806283
20210629,funding,1119,3057,36.6045142296369,2021-06-29,0.148,0.007,1.148,1284.6119999999999,0.993,1111.167,42.02198233562315,36.34828263002944
20210712,funding,1109,3050,36.36065573770492,2021-07-12,0.148,0.007,1.148,1273.1319999999998,0.993,1101.237,41.74203278688524,36.106131147540985
20210809,funding,1110,3042,36.489151873767256,2021-08-09,0.148,0.007,1.148,1274.28,0.993,1102.23,41.88954635108481,36.23372781065089
20210914,funding,1090,3047,35.77289136855924,2021-09-14,0.148,0.007,1.148,1251.32,0.993,1082.37,41.067279291106004,35.52248112897932
20211108,funding,1092,3043,35.88563917186987,2021-11-08,0.148,0.007,1.148,1253.616,0.993,1084.356,41.196713769306605,35.63443969766678
20211206,funding,1092,3026,36.08724388631857,2021-12-06,0.148,0.007,1.148,1253.616,0.993,1084.356,41.42815598149372,35.83463317911434
20220103,funding,1097,3032,36.18073878627968,2022-01-03,0.148,0.007,1.148,1259.356,0.993,1089.321,41.53548812664908,35.92747361477572
20220131,funding,1098,3029,36.2495873225487,2022-01-31,0.148,0.007,1.148,1260.504,0.993,1090.314,41.6145262462859,35.99584021129086
20220228,funding,1088,3038,35.81303489137591,2022-02-28,0.148,0.007,1.148,1249.024,0.993,1080.384,41.113364055299535,35.562343647136274
20220328,funding,1083,3034,35.69545154911008,2022-03-28,0.148,0.007,1.148,1243.2839999999999,0.993,1075.419,40.97837837837837,35.445583388266314
20220425,funding,1075,3027,35.51370994383878,2022-04-25,0.148,0.007,1.148,1234.1,0.993,1067.475,40.76973901552692,35.26511397423191
