example_id,text_phrases,indicator_code,possible_supercategory,critical_words,valid_annotation,,,
1,closed now ,closed_cur,Temporary Closure,closed,F,,,
2,closed to members of the public until further notice,closed_cur,,closed further notice,,,,
3,closed until further notice ,closed_cur,,closed further notice,,,,
4,closed until ,closed_cur,,closed,F,,,
5,currently closed  ,closed_cur,,closed,F,,,
6,currently we are closed due to Covid restrictions ,closed_cur,,closed covid,,,,
7,had to close doors,closed_cur,,close doors,,,,
8,is now closed for ,closed_cur,,closed,F,,,
9,museum closed ,closed_cur,,museum closed,F,,,
10,temporarily closed  ,closed_cur,,closed,F,,,
11,there will be no services over due to the Covid-19 pandemic  ,closed_cur,,no services,,,,
12,to temporarily close,closed_cur,,close,F,,,
13,we have closed ,closed_cur,,closed,F,,,
14,we’re closed,closed_cur,,closed,F,,,
15,we are currently closed to visitors,closed_cur,,closed,F,,,
16,currently closed due to Government Covid restrictions,closed_cur,,closed covid,,,,
17,our office wil not reopen till,closed_cur,,not reopen,,,,
18,is now closed due to covid,closed_cur,,closed covid,,,,
19,We are currently closed,closed_cur,,closed,F,,,
20,We have made the decision to remain closed to the general public,closed_cur,,closed,,,,
21,Temporarily closed ,closed_cur,,closed,F,,,
22,we have taken the hard decision to remain closed now until early ,closed_cur,,closed,,,,
23,we have taken the hard decision to remain closed,closed_cur,,closed,,,,
24,will be closed during the national lockdown,closed_cur,,closed lockdown,,,,
25,currently closed in line with Government restrictions,closed_cur,,closed government restrictions,,,,
26,currently closed on government advice,closed_cur,,closed government advice,,,,
27,temporarily closed,closed_cur,,closed,F,,,
28,We are closed ,closed_cur,,closed,F,,,
29,"The Museum is closed whilst under Tier 3, Tier 4, or National Lockdown restrictions",closed_cur,,closed lockdown restrictions,,,,
30,We have had to close the museum,closed_cur,,museum closed,F,,,
31,currently closed in line with Government restrictions,closed_cur,,closed government restrictions,,,,
32,currently closed due to the Coronavirus pandemic,closed_cur,,closed pandemic,,,,
33,closed following government guidelines,closed_cur,,closed government guidelines,,,,
34,The Museum is currently closed due to Covid-19 restrictions,closed_cur,,closed covid,,,,
35,In line with national restrictions the Museum is temporarily closed,closed_cur,,closed national restrictions,,,,
36,In line with government restrictions remain closed for now  ,closed_cur,,closed government restrictions,,,,
37, we have to remain temporarily closed ,closed_cur,,closed,F,,,
38,is currently closed,closed_cur,,closed,F,,,
39,now closed for the foreseeable future ,closed_indef,Temporary Closure,closed,,,,
40,suspend all museum events for the foreseeable future ,closed_indef,,suspend events,,,,
41,Closed until further notice  ,closed_indef,,closed further notice,,,,
42,The Museum is closed until further notice,closed_indef,,museum closed,,,,
43,this site is currently closed,closed_indef,,site closed,F,,,
44,dismantling of some of our displays covid,closed_perm,Permanent Closure,dismantling displays,,,,
45,scheduled to be re-located in the near future ,closed_perm,,re-located,,,,
46,I have to inform you of the decision to close,closed_perm,,decision close,,,,
47,everything has been properly packed and stored away,closed_perm,,stored away,F,,,
48,"every item will be secured, stored and looked after appropriately until one day we can see it all back on display",closed_perm,,item stored,,,,
49,completely making up for the deficit caused by the  Covid lockdown,finance_health,Positive response,deficit covid,,,,
50,enables us to continue with confidence  ,finance_health,,continue confidence,,,,
51,we are therefore keeping our survival appeal open and have increased our target to   ,finance_health,,survival appeal,,,,
52,We have now exceeded our original target ,finance_health,,exceeded target,,,,
53,we remain optimistic in finding new institutional support for our unique work,finance_health,,optimistic support,,,,
54,Our ambitious development project will see the Museum expand by up to a third by ,finance_health,,development project,,,,
55,"although we have applied for many, we have not received any grants to help us ",funding_did_not_get,Negative response,not received grants,,,,
56,covid due to not receiving support from the ,funding_did_not_get,,not receiving support,,,,
57,no core funding  ,funding_did_not_get,,no funding,,,,
58,we have been overlooked for grant funding ,funding_did_not_get,,overlooked funding,,,,
59,As a charity we receive no core Government funding,funding_did_not_get,,no funding,,,,
60,rely solely on the generosity of our members and the public,funding_did_not_get,,generosity members public,,,,
61,The Museum does not receive government or Lottery funding,funding_did_not_get,,not receiv funding,,,,
62,a successful crowdfunding campaign was launched  ,funding_fundraise,Positive response,successful crowdfunding,,,,
63,consider donating to our campaign,funding_fundraise,,donating campaign,,,,
64,crowdfunding appeal,funding_fundraise,,crowdfunding appeal,,,,
65,enabled us to exceed our target covid,funding_fundraise,,exceed target covid,,,,
66,the total amount raised online was and in addition several donations were received in the form of a cheque,funding_fundraise,,amount raised,,,,
67,crowdfunding project for which we are aiming to raise pandemic survival ,funding_fundraise,,crowdfunding project,,,,
68,donate here to help us re-open ,funding_fundraise,,donate help re-open,,,,
69,in less than two months you have helped us to reach our target and raised over to support the work of   ,funding_fundraise,,reach target,,,,
70,has launched our Survival Appeal calling on our worldwide community to help if they can,funding_fundraise,,survival appeal,,,,
71,Just Giving page to help secure for the future ,funding_fundraise,,Just Giving ,,,,
72,please donate now to help survive,funding_fundraise,,donate survive,,,,
73,please support our Survival Appeal ,funding_fundraise,,survival appeal,,,,
74,we are asking for your help in the form of this new donations page  ,funding_fundraise,,help donations,,,,
75,"so we need your help to keep us afloat this season, to ensure we come back once this situation is over and continue to keep alive for generations to come",funding_fundraise,,help keep afloat,,,,
