muse_id,page_id,sentence_id,example_id,indicator_code,session_id,ann_ex_tokens,page_tokens,sem_similarity,token_n,lemma_n,ann_overlap_lemma,ann_overlap_token,example_len,txt_overlap_lemma,txt_overlap_token,ann_overlap_criticwords,lemmatoken_n,ann_overlap_tokenlemma,txt_overlap_tokenlemma,indicator_code_closed_indef,indicator_code_closed_perm,indicator_code_finance_health,indicator_code_funding_did_not_get,indicator_code_funding_fundraise,indicator_code_funding_gov_emer,indicator_code_funding_other_emer,indicator_code_lang_difficulty,indicator_code_made_covid_safe,indicator_code_online_engag,indicator_code_online_event,indicator_code_online_exhib,indicator_code_open_cafe,indicator_code_open_cur,indicator_code_open_onlineshop,indicator_code_project_postpone,indicator_code_reopen_intent,indicator_code_reopen_plan,indicator_code_staff_hiring,indicator_code_staff_restruct,indicator_code_staff_working,overlap_bin,valid_match
mm.domus.WA030,202439,mus_page202439_sent00008,ann_ex_00103,funding_fundraise,20210304,make donation,remembering education room hire support us make donation cynon valley museum friends museum amazonsmile corporate support,0.7239,2,2,1,1,2,0.125,0.125,1,2,1,0.125,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0.45, 1.01]",T
mm.domus.SE116,406697,mus_page406697_sent00013,ann_ex_00026,closed_cur,20210304,currently closed government advice,we closed ancient house closed line government guidance visit our norfolk museums coronavirus information page to find more coronavirus information opening times museum currently closed opening times full admission prices can vary event pass group discounts admission prices where we ancient house museum thetford life white hart street thetford ip24 1aa,0.7584,3,3,0.75,0.75,4,0.05882,0.05882,0.66667,3,0.75,0.05882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0.45, 1.01]",T
mm.wiki.150,507110,mus_page507110_sent00088,ann_ex_00227,reopen_intent,20210304,we look forward seeing again,you can see up date availability book advance here,0.8023,0,1,0.2,0,5,0.11111,0,0.5,1,0.2,0.11111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"(0.0, 0.45]",F
mm.ace.1089,53136,mus_page53136_sent00049,ann_ex_00167,made_covid_safe,20210304,find how we made visit safe,managing ash dieback berrington find how we tackling ash dieback estate part our woodland management plan how might affect your visit,0.7761,4,4,0.66667,0.66667,6,0.19048,0.19048,0.5,4,0.666666667,0.19048,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"(0.45, 1.01]",F
mm.domus.SC261,101660,mus_page101660_sent00008,ann_ex_00101,funding_fundraise,20210304,every donation important us,museum fully accredited member museums galleries scotland entirely independent staffed volunteers entry free we depend entirely donations,0.7298,0,1,0.25,0,4,0.05882,0,0.5,1,0.25,0.05882,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0.0, 0.45]",T
mm.wiki.019,863927,mus_page863927_sent00066,ann_ex_00275,staff_working,20210304,please contact museum information,museum hopes it will soon able to acquire model bailey bridge well,0.6167,1,1,0.25,0.25,4,0.08333,0.08333,0.5,1,0.25,0.08333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"(0.0, 0.45]",F
mm.domus.SE026,457116,mus_page457116_sent00005,ann_ex_00031,closed_cur,20210304,currently closed line government restrictions,temporary closure hackney museum now temporarily closed further notice line tier restrictions,0.8468,3,3,0.6,0.6,5,0.25,0.25,0.66667,3,0.6,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0.45, 1.01]",T
mm.domus.WM029,462720,mus_page462720_sent00002,ann_ex_00176,online_engag,20210304,look online content our team lockdown,what enjoy online events home,0.7866,1,1,0.16667,0.16667,6,0.2,0.2,0.5,1,0.166666667,0.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(0.0, 0.45]",T
mm.domus.SE310,470657,mus_page470657_sent00032,ann_ex_00036,closed_cur,20210304,line government restrictions remain closed now,national lockdown restrictions our museums must remain closed further notice,0.8865,3,3,0.5,0.5,6,0.3,0.3,0.66667,3,0.5,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0.45, 1.01]",T
mm.domus.SW231,445855,mus_page445855_sent00155,ann_ex_00039,closed_indef,20210304,now closed foreseeable future,closed car park dawn dusk garden kitchen garden,0.4852,1,1,0.25,0.25,4,0.125,0.125,1,1,0.25,0.125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0.0, 0.45]",F
