url	domain	search	muse_id	Museum_Name	location
https://www.visitswanseabay.com/listings/1940s-swansea-bay-museum/	www.visitswanseabay.com	1940s Swansea Bay Museum	mm.MDN.025	1940s Swansea Bay Museum	Swansea
https://www.visitnorfolk.co.uk/Wymondham-389th-Bomb-Group-Memorial-Exhibition/details/?dms=3&venue=0510257	www.visitnorfolk.co.uk	389th Bomb Group Memorial Exhibition	mm.wiki.280	389th Bomb Group Memorial Exhibition	Norwich
https://www.visitcaerphilly.com/aber-valley-heritage-museum/	www.visitcaerphilly.com	Aber Valley Heritage Museum	mm.mald.001	Aber Valley Heritage Museum	Senghenydd
https://visitangus.com/arbroath-signal-tower-museum/	visitangus.com	Arbroath Museum	mm.domus.SC020	Arbroath Museum	Arbroath
https://www.visitscotland.com/info/see-do/arbuthnot-museum-p246841	www.visitscotland.com	Arbuthnot Museum	mm.domus.SC024	Arbuthnot Museum	Peterhead
https://visitarmagh.com/places-to-explore/armagh-county-museum/	visitarmagh.com	Armagh County Museum	mm.domus.NI018	Armagh County Museum	Armagh
https://www.visitscotland.com/info/see-do/atholl-country-life-museum-p1672101	www.visitscotland.com	Atholl Country Life Museum	mm.aim.0040	Atholl Country Life Museum	Pitlochry
https://www.visitscotland.com/info/see-do/atholl-palace-museum-p256171	www.visitscotland.com	Atholl Palace Museum	mm.wiki.490	Atholl Palace Museum	Pitlochry
https://www.visitscotland.com/info/see-do/the-baird-institute-p1611071	www.visitscotland.com	Baird Institute Museum	mm.domus.SC271	Baird Institute Museum	Cumnock
https://www.visitbanchory.com/things-to-do/local-attractions/banchory-museum/	www.visitbanchory.com	Banchory Museum	mm.domus.SC028	Banchory Museum	Banchory
https://www.visitanglesey.co.uk/en/things-to-do/activities/beaumaris-gaol/	www.visitanglesey.co.uk	Beaumaris Gaol	mm.domus.WA007	Beaumaris Gaol	Beaumaris
https://www.visitleicester.info/see-and-do/belgrave-hall-p696521	www.visitleicester.info	Belgrave Hall	mm.domus.EM069	Belgrave Hall	Leicester
http://www.visitambervalley.com/places-to-visit/all-attractions/belper-heritage-centre.aspx	www.visitambervalley.com	Belper Heritage Centre	mm.wiki.064	Belper Heritage Centre	Belper
https://www.visitscotland.com/info/see-do/bennie-museum-p255611	www.visitscotland.com	Bennie Museum	mm.domus.SC072	Bennie Museum	Bathgate
https://www.visit-nottinghamshire.co.uk/things-to-do/bilsthorpe-heritage-museum-p627401	www.visit-nottinghamshire.co.uk	Bilsthorpe Heritage Museum	mm.ace.1297	Bilsthorpe Heritage Museum	Bilsthorpe
https://www.visitherefordshire.co.uk/thedms.aspx?dms=3&venue=1402005	www.visitherefordshire.co.uk	Black And White House Museum	mm.domus.WM110	Black And White House Museum	Hereford
https://www.visitblaenavon.co.uk/en/VisitBlaenavon/ThingsToDo/Blaenavon-Community-Museum.aspx	www.visitblaenavon.co.uk	Blaenavon Community Museum	mm.mald.014	Blaenavon Community Museum	Blaenavon
https://www.visit-swale.co.uk/attractions/blue-town-heritage-centre-1883/	www.visit-swale.co.uk	Blue Town Heritage Centre	mm.misc.253	Blue Town Heritage Centre	Sheppey
https://www.visitardsandnorthdown.com/things-to-do/boys-brigade-heritage-museum	www.visitardsandnorthdown.com	Boys Brigade Heritage Museum	mm.MDN.012	Boys Brigade Heritage Museum	Millisle
