muse_id	musname	town	url	url_source	Unnamed: 5
mm.domus.SE436	Guernsey Museum and Art Gallery	St Peter Port	http://www.museums.gov.gg/	pred	
mm.domus.SE322	La Hougue Bie Museum	Grouville	https://www.jerseyheritage.org/places-to-visit/la-hougue-bie-museum	pred	
mm.misc.054	La Valette Underground Military Museum	St Peter Port	http://lavalette.tk/	pred	
mm.domus.EM018	Wollaton Hall	Nottingham	https://wollatonhall.org.uk/	pred	
mm.domus.EM088	Belton House	nr Grantham	https://www.nationaltrust.org.uk/belton-house	pred	
mm.aim.0983	Cromford Mill	Matlock	https://www.cromfordmills.org.uk/	pred	
mm.domus.EM023	"Greens Mill And Science Centre, Nottingham"	Nottingham	https://www.greensmill.org.uk/	manual	
mm.domus.EM072	Rutland County Museum	Oakham	https://rutlandcountymuseum.org.uk/	pred	
mm.domus.EM104	Charnwood Museum	Loughborough	https://www.charnwood.gov.uk/pages/charnwood_museum	pred	
mm.domus.EM012	Eyam Museum	Hope Valley	https://www.eyam-museum.org.uk/	pred	
mm.domus.EM083	The Boilerhouse	Foxton	https://www.boilerhousehair.co.uk/	pred	
mm.wiki.255	Battle Of Britain Memorial Flight Visitor Centre	Lincoln	https://www.lincolnshire.gov.uk/history-heritage/battle-britain-memorial-flight-visitor-centre	pred	
mm.wiki.256	Dobsons Windmill And Burgh Le Marsh Heritage Centre	Skegness	http://www.heritageburghlemarsh.co.uk/	pred	
mm.ace.1107	Loughborough Carillon Tower And War Memorial Museum	Loughborough	https://www.carillontower.org.uk/	pred	
mm.ace.1103	Strutts North Mill	Belper	https://www.belpernorthmill.org.uk/	pred	
mm.ace.1275	Spalding Gentlemens Society Museum	Spalding	https://www.sgsoc.org/	pred	
mm.domus.EM003	Alford Manor House Museum	Alford	https://www.alfordmanorhouse.co.uk/	pred	
mm.wiki.263	North Ings Farm Museum	Lincoln	http://northingsfarmmuseum.co.uk/	manual	
mm.aim.0173	Carpetbagger Aviation Museum	Harrington	https://harringtonmuseum.org.uk/	pred	
mm.musa.345	The Priests House	Stamford	https://thepriestshouse.com/	pred	
mm.domus.EM009	Harley Gallery	Worksop	https://www.harleygallery.co.uk/	pred	
mm.hha.098	Southwick Hall	Nr. Oundle	http://southwickhall.co.uk/	manual	
mm.misc.015	The National Video Game Arcade	Nottingham	https://thenvm.org/	pred	
mm.wiki.502	Thorpe Camp Visitor Centre	Tattershall Thorpe	https://thorpecamp.wixsite.com/visitorscentre	pred	
mm.wiki.253	William Carey Museum	Leicester	https://artuk.org/visit/venues/william-carey-museum-4560	pred	
mm.wiki.266	RAF Scampton Heritage Centre	Lincoln	https://www.raf.mod.uk/our-organisation/stations/raf-scampton/heritage-centre-visits/	manual	
mm.domus.EM024	Museum of Timekeeping	Newark	https://www.museumoftimekeeping.org.uk/	pred	
mm.aim.0545	Lincolnshire Aviation Heritage Centre	Spilsby	https://www.lincsaviation.co.uk/	pred	
mm.New.124	Jain Museum	Leicester	http://jainmuseum.com/	pred	
mm.ace.1173	"Imperial War Museum, Duxford"	Cambridge	https://www.iwm.org.uk/visits/iwm-duxford	pred	
mm.domus.SE543	Felbrigg Hall	Norwich	https://www.nationaltrust.org.uk/felbrigg-hall-gardens-and-estate	pred	
mm.ace.1160	The Polar Museum	Cambridge	https://www.spri.cam.ac.uk/museum/	pred	
mm.aim.1209	The Thursford Collection	Fakenham	https://www.thursford.com/	pred	
mm.domus.SE427	Moyses Hall Museum	Bury St Edmunds	https://www.moyseshall.org/	pred	
mm.domus.SE102	Museum Of Norwich At The Bridewell	Norwich	https://www.museums.norfolk.gov.uk/museum-of-norwich	manual	
mm.domus.SE131	Peterborough Museum And Art Gallery	Peterborough	https://vivacity.org/art-venues/peterborough-museum-art-gallery/	pred	
mm.domus.SE424	Lowestoft Museum	Lowestoft	https://lowestoftmuseum.org/	pred	
mm.ace.1187	Warner Textile Archive	Braintree	https://www.warnertextilearchive.co.uk/	pred	
mm.domus.SE331	Long Shop Museum	Leiston	https://www.facebook.com/Longshopmuseum/	manual	
mm.domus.SE563	Bressingham Steam Museum	Diss	https://www.bressingham.co.uk/	pred	
mm.domus.SE378	"Museum Of Archaeology And Anthropology, University Of Cambridge"	Cambridge	https://maa.cam.ac.uk/	pred	
mm.wiki.129	Hylands House	Chelmsford	https://hylandsestate.co.uk/	pred	
mm.aim.0218	Colne Valley Railway	Castle Hedingham	https://www.colnevalleyrailway.co.uk/	pred	
mm.domus.SE340	Lowewood Museum	Hoddesdon	https://lowewoodmuseum.com/	pred	
mm.domus.SE505	The Farmland Museum	Waterbeach	https://www.dennyfarmlandmuseum.org.uk/	pred	
mm.domus.SE167	Ipswich Transport Museum	Ipswich	https://www.ipswichtransportmuseum.co.uk/	pred	
mm.domus.SE249	Burnham-on-Crouch and District Museum	Burnham-on-Crouch	http://burnhammuseum.co.uk/	pred	
mm.domus.SE576	Lowestoft Maritime Museum	Lowestoft	http://www.lowestoftmaritimemuseum.co.uk/	pred	
mm.domus.SE061	John Bunyan Museum And Library	Bedford	https://www.bunyanmeeting.co.uk/museum	pred	
mm.domus.SE542	Paycockes House & Garden	Colchester	https://www.nationaltrust.org.uk/paycockes-house-and-garden	manual	
mm.domus.SE135	Swaffham Museum	Swaffham	http://www.swaffhammuseum.co.uk/	manual	
mm.domus.SE328	"Little Hall, Lavenham"	Lavenham	http://www.littlehall.org.uk/	pred	
mm.wiki.352	Sudbury Heritage Centre & Museum	Sudbury	https://sudburyheritagecentre.co.uk/	pred	
mm.aim.0803	Ridgmont Station Heritage Centre	Ridgmont	https://bedsrcc.org.uk/what-we-do/community-transport/rail/ridgmont-station-heritage-centre/	pred	
