museum_id	url	source
mm.hha.192	['www.facebook.com/glenarm-castle-129784387065070', 'en-gb.facebook.com/GlenarmCastle']	Scrape
mm.domus.WA035	en-gb.facebook.com/waterfrontmuseum	ML
mm.domus.NE053	en-gb.facebook.com/archaeology.museum.durham	Both
mm.domus.NE057	['www.facebook.com/greatnorthmuseum', 'www.facebook.com/greatnorthmuseum', 'en-gb.facebook.com/greatnorthmuseum']	Scrape
mm.ace.1198	['www.facebook.com/thelightboxwoking', 'en-gb.facebook.com/TheLightboxWoking']	Scrape
mm.musa.053	['facebook.com/bodmingeneral', 'en-gb.facebook.com/bodmingeneral/posts']	Scrape
mm.domus.SE274	['www.facebook.com/freudmuseum', 'www.facebook.com/freud-museum-london-75411869774', 'en-gb.facebook.com/FreudMuseum']	Scrape
mm.aim.0545	en-gb.facebook.com/Lincolnshire-Aviation-Heritage-Centre-1598270717129364/posts	ML
mm.ace.1244	['www.facebook.com/museumofpolicingincheshire', 'en-gb.facebook.com/cheshirepolice/posts/from-the-museum-of-policing-in-cheshire/10154195921299015']	Scrape
mm.domus.SC268	no_resource	no_resource
mm.musa.212	en-gb.facebook.com/WainfleetCommunityHub/community	ML
mm.aim.0112	['www.facebook.com/bradfordpolicemuseum', 'en-gb.facebook.com/bradfordpolicemuseum']	Scrape
mm.wiki.424	no_resource	no_resource
mm.hha.039	no_resource	no_resource
mm.musa.255	no_resource	no_resource
mm.domus.SW152	no_resource	no_resource
mm.ace.1152	['www.facebook.com/royalcrownderbymuseum', 'en-gb.facebook.com/RoyalCrownDerby/posts']	Scrape
mm.domus.YH029	['www.facebook.com/jorvikyork', 'en-gb.facebook.com/JorvikYork']	Scrape
mm.domus.SE042	['www.facebook.com/inkingstonuk', 'www.facebook.com/rbkheritage']	Scrape
mm.hha.065	en-gb.facebook.com/longleat	ML
mm.misc.225	no_resource	no_resource
mm.domus.NW163	['www.facebook.com/stottpark']	Scrape
mm.domus.SC062	['www.facebook.com/argyllandbutecouncil', 'en-gb.facebook.com/pages/category/History-Museum/CampbeltownHC/posts']	Scrape
mm.domus.WM033	no_resource	no_resource
mm.domus.WM106	no_resource	no_resource
mm.domus.WM125	no_resource	no_resource
mm.domus.SW128	['www.facebook.com/pages/salisbury-south-wiltshire-museum/116877671701774', 'en-gb.facebook.com/SalisburyMuseum']	Scrape
mm.domus.NW157	en-gb.facebook.com/CastleRushenHighSchool	ML
mm.domus.WM144	en-gb.facebook.com/HerefordshireLightInfantryMuseum/posts	ML
mm.domus.SW072	en-gb.facebook.com/jefferiesmuseum	ML
mm.misc.220	no_resource	no_resource
mm.mgs.415	no_resource	no_resource
mm.aim82M.061	no_resource	no_resource
mm.wiki.169	en-gb.facebook.com/royalcollectiontrust/about	ML
mm.domus.WM017	['www.facebook.com/warwickshiremuseum', 'en-gb.facebook.com/warwickshiremuseum/posts']	Scrape
mm.domus.SW189	['www.facebook.com/nothe-fort-156814127713924', 'en-gb.facebook.com/Nothe-Fort-156814127713924']	Scrape
mm.domus.SE604	['www.facebook.com/amsmuseum', 'en-gb.facebook.com/AMSMuseum']	Scrape
mm.domus.WM037	['www.facebook.com/warwickartscentre', 'en-gb.facebook.com/MeadGallery/ads/?ref=page_internal']	Scrape
mm.domus.SC154	no_resource	no_resource
mm.musa.247	['www.facebook.com/myretonmotormuseum', 'en-gb.facebook.com/MyretonMotorMuseum']	Scrape
mm.wiki.286	en-gb.facebook.com/pages/category/Contractor/custombuildnorfolkltd/about	ML
mm.fcm.204	no_resource	no_resource
mm.domus.NW031	['en-gb.facebook.com/ellenroadenginehouse', 'en-gb.facebook.com/Ellenroadenginehouse']	Scrape
mm.wiki.191	en-gb.facebook.com/horwichheritagecentre	ML
mm.domus.SC148	no_resource	no_resource
mm.wiki.283	no_resource	no_resource
mm.domus.SE105	en-gb.facebook.com/StrangersHall	ML
mm.domus.YH168	en-gb.facebook.com/galleryatsalt	ML
mm.domus.NE017	en-gb.facebook.com/chestersromanfort	ML
mm.musa.397	no_resource	no_resource
mm.misc.218	['www.facebook.com/bathmedicalmuseum', 'en-gb.facebook.com/bathmedicalmuseum']	Scrape
mm.aim.0877	en-gb.facebook.com/sherehillclimb	ML
mm.domus.NW073	en-gb.facebook.com/pages/category/Nonprofit-Organization/TheArmitt/posts	ML
mm.hha.041	['www.facebook.com/ugbrookehousegarden']	Scrape
mm.wiki.310	no_resource	no_resource
mm.domus.SC222	['www.facebook.com/artcollectionstirling', 'www.facebook.com/universityofstirling', 'en-gb.facebook.com/artcollectionstirling']	Scrape
mm.domus.SE034	en-gb.facebook.com/millgreenmillandmuseum	Both
mm.domus.SC070	no_resource	no_resource
mm.musa.175	no_resource	no_resource
mm.domus.NE011	['www.facebook.com/pages/the-bowes-museum/8814259979', 'en-gb.facebook.com/TheBowesMuseum']	Scrape
mm.domus.WM123	['www.facebook.com/comptonverney', 'en-gb.facebook.com/comptonverney/events']	Scrape
mm.domus.NE069	['www.facebook.com/durhamcathedral']	Scrape
mm.domus.SW074	no_resource	no_resource
mm.domus.SE227	['www.facebook.com/busheymuseumandartgallery', 'en-gb.facebook.com/busheymuseumandartgallery']	Scrape
mm.domus.SW102	['www.facebook.com/topshammuseum']	Scrape
mm.ace.1258	['www.facebook.com/strawberryhillhouse', 'en-gb.facebook.com/StrawberryHillHouse']	Scrape
mm.domus.SE167	no_resource	no_resource
mm.domus.NI015	en-gb.facebook.com/ulsteramericanfolkpark	ML
mm.domus.SC258	['www.facebook.com/slleisureandculture', 'en-gb.facebook.com/pages/category/Landmark---Historical-Place/Chatelherault-Country-Park-149659871736691']	Scrape
mm.musa.342	no_resource	no_resource
mm.musa.354	['www.facebook.com/groups/tolpuddlemartyrs', 'en-gb.facebook.com/tolpuddlemartyrs']	Scrape
mm.domus.YH150	['www.facebook.com/waterloo200org']	Scrape
mm.New.125	no_resource	no_resource
mm.ace.1145	en-gb.facebook.com/erasmusdarwinhouse	ML
mm.domus.WA101	no_resource	no_resource
mm.hha.122	['www.facebook.com/markenfield-hall-101595813253175', 'en-gb.facebook.com/markenfieldhall']	Scrape
mm.domus.SW136	['www.facebook.com/thornbury-and-district-museum-1914303718881741']	Scrape
mm.domus.SE256	en-gb.facebook.com/DunwichMuseum	ML
mm.musa.368	['www.facebook.com/waddesdonmanor']	Scrape
mm.hha.019	['www.facebook.com/kingstonbagpuizehouse', 'www.facebook.com/kingstonbagpuizehouse', 'en-gb.facebook.com/KingstonBagpuizeHouse']	Scrape
mm.domus.WM122	no_resource	no_resource
mm.domus.WM024	['www.facebook.com/tamworthcastle', 'en-gb.facebook.com/tamworthcastle']	Scrape
mm.wiki.026	no_resource	no_resource
mm.domus.SC121	['www.facebook.com/grantownmuseum', 'en-gb.facebook.com/grantownmuseum/posts']	Scrape
mm.domus.SE329	no_resource	no_resource
mm.domus.YH002	en-gb.facebook.com/yorkarmymuseum	ML
mm.domus.YH115	no_resource	no_resource
mm.wiki.211	no_resource	no_resource
mm.misc.152	no_resource	no_resource
mm.New.49	no_resource	no_resource
mm.wiki.399	['www.facebook.com/themerchantshousemarlborough', 'en-gb.facebook.com/themerchantshousemarlborough']	Scrape
