
"100th Bomb Group Memorial Museum","IP21 4PH","1983"
"1066 Battle Of Hastings, Battle Abbey And Battlefield","TN33 0AD","1991"
"13th/18th Royal Hussars Museum","S75 4AT","1963"
"14th/20th Kings Hussars Museum","PR1 4YP","1966"
"1620s House And Garden","LE67 2FW","1974"
"18 Stafford Terrace","W8 7BH","1980"
"19 Princelet Street","E1 6QH","1975-2000"
"1940s Swansea Bay Museum","SA1 8PT","2005"
"2 Willow Road","NW3 1TH","1995"
"201 Squadron Museum","GY1 6JN","1978"
"251 Menlove Avenue","L25 7SA","2003"
"306th Bombardment Group Museum","MK44 1QU","2002"
"389th Bomb Group Memorial Exhibition","NR14 8EY","2001"
"390th Bombardment Group Memorial Air Museum","IP13 9AF","1981"
"50 and 61 Squadron Museum","LN6 0JE","1980-1989"
"575 Wandsworth Road","SW8 3JD","2013"
"602 Squadron Museum","G2 3LW","1983"
"78 Derngate","NN1 1UH","2003"
"9th/12th Royal Lancers Museum","DE1 1BS","1972"
"A La Ronde","EX8 5BD","1935"
"A World In Miniature Museum","CA6 4JB","2006"
"Abbey House Museum","LS5 3EH","1927"
"Abbey Pumping Station Museum","LE4 5PX","1972"
"Abbeydale Industrial Hamlet","S7 2QW","1970"
"Abbot Hall Art Gallery","LA9 5AL","1962"
"Abbot House Heritage Centre","KY12 7NE","1992"
"Abbotsford","TD6 9BQ","1833"
"Aber Valley Heritage Museum","CF83 4HA","2009"
"Aberaeron Toy Museum","SA46 0AS","1997"
"Aberconwy House","LL32 8AY","1979"
"Aberdeen Art Gallery","AB10 1FQ","1884"
"Aberdeen Maritime Museum","AB11 5BY","1984"
"Aberdeen Science Centre","AB11 6EQ","1988"
"Aberdeenshire Farming Museum","AB42 5FQ","1986"
"Abergavenny Museum","NP7 5EE","1959"
"Abergynolwyn Village Museum","LL36 9YB","1960-1985"
"Abertillery And District Museum","NP13 1AH","1972"
"Aberystwyth Ceramics Gallery","SY23 3DE","1876"
"Aberystwyth Yesterday","SY23 1LH","1971"
"Abingdon Museum","OX14 3HG","1919"
"Abington Museum","NN1 5LW","1899"
"Abriachan Museum","IV3 6LB","1970"
"Acton Court","BS37 9TL","1989-2004"
"Acton Scott Working Farm Museum","SY6 6QN","1975"
"Adamston Agricultural Museum","AB54 6AL","1972"
"Adjutant General's Corps Museum","SO21 2RG","1963"
"Adlington Hall","SK10 4LF","1950-1959"
"Aerospace Bristol","BS34 5BZ","2017"
"Age Of Steam","TR20 8DS","1977"
"Agricultural & Rural Museum","CV9 3PX","1960-1981"
"Agricultural Museum, Brook","TN25 5PF","1948"
"Agricultural Museum","BN26 5SW","1920-1960"
"Ainsworth And Sons Ltd Museum","BB2 2BW","2018"
"Airborne Assault Museum","CB22 4QR","1969"
"Aircraft Radio Museum","CV3 4PB","1975"
"Airdrie Museum","ML6 0AG","1925"
"Aldborough Roman Town","YO51 9ES","1953"
"Aldbourne Heritage Centre","SN8 2DU","2016"
"Aldeburgh Museum","IP15 5DS","1913"
"Alderney Museum","GY9 3TG","1966"
"Aldershot Military Museum","GU11 2LG","1984"
"Aldridge Transport Museum","WS9 8TP","1988"
"Alexander Fleming Laboratory Museum","W2 1NY","1993"
"Alexander Keiller Museum","SN8 1RF","1938"
"Alford Heritage Museum","AB33 8BZ","1991"
"Alford Manor House Museum","LN13 9HT","1967"
"Alford Railway Museum","AB33 8HH","1979"
"Alfred Corry Lifeboat Museum","IP18 6NB","1998"
"Alfred East Art Gallery","NN16 0AN","1913"
"Alfriston Clergy House","BN26 5TL","1895"
"All Hallows By The Tower (Undercroft Museum)","EC3R 5BJ","1956"
"Allen Gallery","GU34 2BW","1964"
"Allerton Castle","HG5 0SE","1986"
"Allhallows Museum","EX14 1PG","1946"
"Alloa Museum And Gallery","FK10 1JJ","1992"
"Almond Valley Heritage Centre","EH54 7AR","1982"
"Aln Valley Railway","NE66 2EZ","2012"
"Alnwick Castle","NE66 1NQ","1950"
"Alscott Farm Museum","EX21 5RJ","1976"
"Alstonefield Geohut","DE6 2FS","2008"
"Althorp","NN7 4HQ","1953"
"Alyth Museum","PH11 8AF","1973-1974"
"Amberley Museum & Heritage Centre","BN18 9LT","1979"
"Amelia Earhart Cottage Museum","BT48 7UF","1989"
"American Museum","BT67 9GB","2015"
"Amersham Fair Organ Museum","HP6 6HJ","2004"
"Amersham Museum","HP7 0DP","1991"
"Amgueddfa Ceredigion Museum","SY23 2AQ","1972"
"Amgueddfa Howell Harris","LD3 0PP","1957"
"Amgueddfa'r Gogledd (Museum of the North)","LL55 4UR","1980"
"An Iodhlann","PA77 6UP","1997"
"Anaesthesia Heritage Centre","W1B 1PY","1986"
"Anatomy Museum, University Of Aberdeen","AB243FX","1860"
"Anatomy Museum, University Of Edinburgh","EH8 9AG","1800"
"Anchor Press Museum","CO5 0HL","2001"
"Ancient High House","ST16 2HS","1986"
"Ancient House Museum","IP24 1AA","1924"
"Andover Museum","SP10 1DP","1981"
"Andrew Carnegie Birthplace Museum","KY12 7PL","1908"
"Andrew Jackson Cottage/us Rangers Centre","BT38 7EQ","1994"
"Andrew Logan Museum Of Sculpture","SY21 8AH","1991"
"Andy Tyrie Interpretive Centre","BT4 1HG","2012"
"Anglesey Abbey, Gardens And Lode Mill","CB25 9EJ","1966"
"Angus Folk Museum","DD8 1RT","1958"
"Ankers House Museum","DH3 3QB","1986"
"Annan Museum","DG12 6AA","1955"
"Anne Hathaways Cottage","CV37 9HH","1892"
"Anne Of Cleves House Museum","BN7 1JA","1930"
"Antique Breadboard Museum","SW15 6AX","2017-2018"
"Antony House","PL11 2QA","1961"
"Apedale Heritage Centre","ST5 7LB","2001"
"Applecross Heritage Centre","IV54 8ND","2003"
"Apsley House","W1J 7NT","1947"
"Arbeia Roman Fort And Museum","NE33 2BB","1953"
"Arbroath Art Gallery","DD11 1PN","1898"
"Arbroath Museum","DD11 1PU","1974"
"Arbury Hall","CV10 7PT","1945-1960"
"Arbuthnot Museum","AB42 1QD","1850"
"Archaeolink Prehistory Park","AB52 6QP","1997"
"Arctic Corsair","HU1 1PS","1999"
"Ardington House","OX12 8PY","1960-2017"
