musname	muse_id	town	postcode	accreditation	governance	size	subject_matter	closing_date	provenance	deprivation_index	geodemographic_group	geodemographic_subgroup	admin_area	region	gov	valid
Royal Guernsey Militia Regimental Museum	mm.New.91	St Peter Port	GY1 6JN	Unaccredited	Government:Local Authority	medium	War and conflict:Regiment	Still open	New				/Channel Islands	Channel Islands	Government	
German Occupation Museum	mm.aim.0370	Forest	GY8 0BG	Unaccredited	Independent:Private	medium	War and conflict:Event or site	Still open	aim				/Channel Islands	Channel Islands	Independent	
Jersey War Tunnels	mm.musa.182	St Lawrence	JE3 1FU	Unaccredited	Independent:Private	unknown	War and conflict:Other	Still open	musassoc				/Channel Islands	Channel Islands	Independent	
The Collection: Art And Archaeology In Lincolnshire	mm.ace.324	Lincoln	LN2 1LP	Accredited	Government:Local Authority	large	Mixed:Other	Still open	ace	3.0	Larger Towns and Cities	Larger Towns and Cities	/England/East Midlands (English Region)/Lincolnshire (English County)/Lincoln (English District or Borough)	East Midlands (English Region)	Government	
National Tramway Museum	mm.domus.EM076	Matlock	DE4 5DP	Accredited	Independent:Not for profit	large	Transport:Buses and trams	Still open	domus	7.0	Country Living	Country Living	/England/East Midlands (English Region)/Derbyshire (English County)/Amber Valley (English District or Borough)	East Midlands (English Region)	Independent	
9th/12th Royal Lancers Museum	mm.domus.EM048	Derby	DE1 1BS	Unaccredited	Independent:Not for profit	large	War and conflict:Regiment	Still open	domus	1.0	Manufacturing Traits	Industrial and Multi-ethnic	/England/East Midlands (English Region)/Derby (English UA)	East Midlands (English Region)	Independent	
Greens Mill And Science Centre, Nottingham	mm.domus.EM023	Nottingham	NG2 4QB	Accredited	Government:Local Authority	medium	Rural Industry:Windmills	Still open	domus	1.0	University Towns and Cities	University Towns and Cities	/England/East Midlands (English Region)/Nottingham (English UA)	East Midlands (English Region)	Government	
Bosworth Battlefield Heritage Centre	mm.ace.1200	Nuneaton	CV13 0AD	Accredited	Government:Local Authority	medium	War and conflict:Event or site	Still open	ace	5.0	Country Living	Country Living	/England/East Midlands (English Region)/Leicestershire (English County)/Hinckley and Bosworth (English District or Borough)	East Midlands (English Region)	Government	
Melton Carnegie Museum	mm.domus.EM070	Melton Mowbray	LE13 1RB	Accredited	Government:Local Authority	medium	Local Histories	Still open	domus	3.0	Country Living	Country Living	/England/East Midlands (English Region)/Leicestershire (English County)/Melton (English District or Borough)	East Midlands (English Region)	Government	
National Justice Museum	mm.domus.EM078	Nottingham	NG1 1HN	Accredited	Independent:Not for profit	medium	Buildings:Penal	Still open	domus	3.0	University Towns and Cities	University Towns and Cities	/England/East Midlands (English Region)/Nottingham (English UA)	East Midlands (English Region)	Independent	
Tattershall Castle	mm.domus.EM090	Tattershall	LN4 4LR	Accredited	Independent:National Trust	medium	War and conflict:Castles and forts	Still open	domus	5.0	Remoter Coastal Living	Ageing Coastal Living	/England/East Midlands (English Region)/Lincolnshire (English County)/East Lindsey (English District or Borough)	East Midlands (English Region)	Independent	
Alfred East Art Gallery	mm.domus.EM059	Kettering	NN16 0AN	Unaccredited	Government:Local Authority	medium	Arts:Fine and decorative arts	Still open	domus	1.0	Manufacturing Traits	Urban Living	/England/East Midlands (English Region)/Northamptonshire (English County)/Kettering (English District or Borough)	East Midlands (English Region)	Government	
Grimsthorpe Castle, Park & Gardens	mm.hha.092	Bourne	PE10 0LY	Unaccredited	Independent:Private	medium	Buildings:Houses:Large houses	Still open	hha	6.0	Country Living	Country Living	/England/East Midlands (English Region)/Lincolnshire (English County)/South Kesteven (English District or Borough)	East Midlands (English Region)	Independent	
Royal Crown Derby Museum	mm.ace.1152	Derby	DE23 8JZ	Accredited	Independent:Not for profit	small	Arts:Ceramics	Still open	ace	1.0	Manufacturing Traits	Industrial and Multi-ethnic	/England/East Midlands (English Region)/Derby (English UA)	East Midlands (English Region)	Independent	
Lutterworth Museum	mm.aim.0565	Lutterworth	LE17 4DY	Accredited	Independent:Not for profit	small	Local Histories	Still open	aim	8.0	Country Living	Country Living	/England/East Midlands (English Region)/Leicestershire (English County)/Harborough (English District or Borough)	East Midlands (English Region)	Independent	
Old Rectory Museum	mm.ace.1108	Loughborough	LE11 1UW	Accredited	Independent:Not for profit	small	Archaeology:Mixed	Still open	ace	3.0	Town Living	Prosperous Towns	/England/East Midlands (English Region)/Leicestershire (English County)/Charnwood (English District or Borough)	East Midlands (English Region)	Independent	
Hinckley And District Museum	mm.domus.EM109	Hinckley	LE10 1QU	Accredited	Independent:Not for profit	small	Local Histories	Still open	domus	3.0	Country Living	Country Living	/England/East Midlands (English Region)/Leicestershire (English County)/Hinckley and Bosworth (English District or Borough)	East Midlands (English Region)	Independent	
Lamport Hall & Gardens	mm.hha.097	Northampton	NN6 9HD	Unaccredited	Independent:Private	small	Buildings:Houses:Large houses	Still open	hha	9.0	Country Living	Country Living	/England/East Midlands (English Region)/Northamptonshire (English County)/Daventry (English District or Borough)	East Midlands (English Region)	Independent	
Citadel Of Miniatures	mm.fcm.051	Nottingham	NG7 2WS	Unaccredited	Independent:Private	small	Leisure and sport:Toys and models	Still open	fcm	6.0	University Towns and Cities	University Towns and Cities	/England/East Midlands (English Region)/Nottingham (English UA)	East Midlands (English Region)	Independent	
The Tithe Barn Museum	mm.aim.1210	Peterborough	PE8 6QG	Unaccredited	Independent:Private	small	Archaeology:Medieval	Still open	aim	7.0	Country Living	Country Living	/England/East Midlands (English Region)/Northamptonshire (English County)/East Northamptonshire (English District or Borough)	East Midlands (English Region)	Independent	
RAF Scampton Heritage Centre	mm.wiki.266	Lincoln	LN1 2ST	Unaccredited	Independent:Unknown	small	War and conflict:Airforce	Still open	wiki	8.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/England/East Midlands (English Region)/Lincolnshire (English County)/West Lindsey (English District or Borough)	East Midlands (English Region)	Independent	
Earls Barton Museum Of Local Life	mm.domus.EM005	Northampton	NN6 0DH	Unaccredited	Independent:Unknown	small	Local Histories	Still open	domus	9.0	Suburban Traits	Expanding Areas	/England/East Midlands (English Region)/Northamptonshire (English County)/Wellingborough (English District or Borough)	East Midlands (English Region)	Independent	
Boughton House	mm.aim.1076	Kettering	NN14 1BJ	Unaccredited	Independent:Not for profit	small	Buildings:Houses:Large houses	Still open	aim	7.0	Manufacturing Traits	Urban Living	/England/East Midlands (English Region)/Northamptonshire (English County)/Kettering (English District or Borough)	East Midlands (English Region)	Independent	
Papplewick Hall	mm.hha.101	Papplewick	NG15 8FE	Unaccredited	Independent:Private	small	Buildings:Houses:Large houses	Still open	hha	5.0	Town Living	Prosperous Towns	/England/East Midlands (English Region)/Nottinghamshire (English County)/Gedling (English District or Borough)	East Midlands (English Region)	Independent	
Magdalen College Museum	mm.musa.212	Skegness	PE24 4DL	Unaccredited	Independent:Unknown	small	Mixed:Other	Still open	musassoc	1.0	Remoter Coastal Living	Ageing Coastal Living	/England/East Midlands (English Region)/Lincolnshire (English County)/East Lindsey (English District or Borough)	East Midlands (English Region)	Independent	
Irchester Narrow Gauge Railway Museum	mm.domus.EM039	Wellingborough	NN8 2EH	Unaccredited	Independent:Not for profit	small	Transport:Trains and railways	Still open	domus	4.0	Suburban Traits	Expanding Areas	/England/East Midlands (English Region)/Northamptonshire (English County)/Wellingborough (English District or Borough)	East Midlands (English Region)	Independent	
North Ings Farm Museum	mm.wiki.263	Lincoln	LN4 3QB	Unaccredited	Independent:Private	small	Rural Industry:Farming	Still open	wiki	4.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/England/East Midlands (English Region)/Lincolnshire (English County)/North Kesteven (English District or Borough)	East Midlands (English Region)	Independent	
Southwick Hall	mm.hha.098	Nr. Oundle	PE8 5BL	Unaccredited	Independent:Private	small	Buildings:Houses:Large houses	Still open	hha	7.0	Country Living	Country Living	/England/East Midlands (English Region)/Northamptonshire (English County)/East Northamptonshire (English District or Borough)	East Midlands (English Region)	Independent	
We'll Meet Again Homefront Museum	mm.New.39	Freiston	PE22 0LY	Unaccredited	Independent:Private	unknown	War and conflict:Event or site	Still open	New	3.0	Manufacturing Traits	Urban Living	/England/East Midlands (English Region)/Lincolnshire (English County)/Boston (English District or Borough)	East Midlands (English Region)	Independent	
Verulamium Museum	mm.domus.SE364	St Albans	AL3 4SW	Accredited	Government:Local Authority	large	Archaeology:Roman	Still open	domus	10.0	Rural-Urban Fringe	Rural-Urban Fringe	/England/East of England (English Region)/Hertfordshire (English County)/St Albans (English District or Borough)	East of England (English Region)	Government	
Wimpole Hall	mm.domus.SE541	nr Royston	SG8 0BW	Accredited	Independent:National Trust	large	Buildings:Houses:Large houses	Still open	domus	9.0	Thriving Rural	Affluent rural	/England/East of England (English Region)/Cambridgeshire and Peterborough (English CA)/South Cambridgeshire (English District or Borough)	East of England (English Region)	Independent	
Sedgwick Museum Of Earth Sciences, University Of Cambridge	mm.domus.SE379	Cambridge	CB2 3EQ	Accredited	University	large	Natural world:Geology	Still open	domus	7.0	University Towns and Cities	University Towns and Cities	/England/East of England (English Region)/Cambridgeshire and Peterborough (English CA)/Cambridge (English District or Borough)	East of England (English Region)	University	
Hatfield House	mm.wiki.208	Hatfield	AL9 5NQ	Unaccredited	Independent:Private	large	Buildings:Houses:Large houses	Still open	wiki	10.0	Larger Towns and Cities	Larger Towns and Cities	/England/East of England (English Region)/Hertfordshire (English County)/Welwyn Hatfield (English District or Borough)	East of England (English Region)	Independent	
Museum Of Norwich At The Bridewell	mm.domus.SE102	Norwich	NR2 1AQ	Accredited	Government:Local Authority	medium	Local Histories	Still open	domus	3.0	Larger Towns and Cities	Larger Towns and Cities	/England/East of England (English Region)/Norfolk (English County)/Norwich (English District or Borough)	East of England (English Region)	Government	
Stevenage Museum	mm.domus.SE358	Stevenage	SG1 1XX	Accredited	Government:Local Authority	medium	Local Histories	Still open	domus	2.0	Suburban Traits	City Periphery	/England/East of England (English Region)/Hertfordshire (English County)/Stevenage (English District or Borough)	East of England (English Region)	Government	
West Stow Anglo-Saxon Museum	mm.ace.1251	Bury St Edmunds	IP28 6HG	Accredited	Government:Local Authority	medium	Archaeology:Medieval	Still open	ace	6.0	Country Living	Country Living	/England/East of England (English Region)/Suffolk (English County)/St Edmundsbury (English District or Borough)	East of England (English Region)	Government	
Long Shop Museum	mm.domus.SE331	Leiston	IP16 4ES	Accredited	Independent:Not for profit	medium	Industry and manufacture:Other	Still open	domus	5.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/England/East of England (English Region)/Suffolk (English County)/Suffolk Coastal (English District or Borough)	East of England (English Region)	Independent	
Norfolk & Suffolk Aviation Museum	mm.domus.SE593	Nr Bungay	NR35 1NZ	Accredited	Independent:Not for profit	medium	Transport:Aviation	Still open	domus	5.0	Remoter Coastal Living	Ageing Coastal Living	/England/East of England (English Region)/Suffolk (English County)/Waveney (English District or Borough)	East of England (English Region)	Independent	
Hertford Museum	mm.domus.SE291	Hertford	SG14 1DT	Accredited	Independent:Not for profit	medium	Local Histories	Still open	domus	8.0	Thriving Rural	Rural Growth Areas	/England/East of England (English Region)/Hertfordshire (English County)/East Hertfordshire (English District or Borough)	East of England (English Region)	Independent	
Essex Regiment Museum	mm.domus.SE271	Chelmsford	CM2 9AQ	Accredited	Independent:Not for profit	medium	War and conflict:Regiment	Still open	domus	8.0	Thriving Rural	Rural Growth Areas	/England/East of England (English Region)/Essex (English County)/Chelmsford (English District or Borough)	East of England (English Region)	Independent	
New Hall Art Collection	mm.misc.121	Cambridge	CB3 0DF	Accredited	University	medium	Arts:Fine and decorative arts	Still open	Misc	8.0	University Towns and Cities	University Towns and Cities	/England/East of England (English Region)/Cambridgeshire and Peterborough (English CA)/Cambridge (English District or Borough)	East of England (English Region)	University	
Rayleigh Windmill Museum	mm.ace.1212	Rayleigh	SS4 1BW	Unaccredited	Government:Local Authority	medium	Rural Industry:Windmills	Still open	ace	3.0	Town Living	Prosperous Semi-rural	/England/East of England (English Region)/Essex (English County)/Rochford (English District or Borough)	East of England (English Region)	Government	
Holkham Hall	mm.hha.077	Wells-next-the-Sea	NR23 1AB	Unaccredited	Independent:Private	medium	Buildings:Houses:Large houses	Still open	hha	4.0	Remoter Coastal Living	Ageing Coastal Living	/England/East of England (English Region)/Norfolk (English County)/North Norfolk (English District or Borough)	East of England (English Region)	Independent	
Tolhouse	mm.domus.SE110	Great Yarmouth	NR30 2SQ	Accredited	Government:Local Authority	small	Buildings:Civic	Still open	domus	1.0	Remoter Coastal Living	Seaside Living	/England/East of England (English Region)/Norfolk (English County)/Great Yarmouth (English District or Borough)	East of England (English Region)	Government	
Suffolk Regiment Museum	mm.ace.1252	Bury St Edmunds	IP33 3RN	Accredited	Independent:Not for profit	small	War and conflict:Regiment	Still open	ace	8.0	Country Living	Country Living	/England/East of England (English Region)/Suffolk (English County)/St Edmundsbury (English District or Borough)	East of England (English Region)	Independent	
Fakenham Museum Of Gas & Local History	mm.domus.SE126	Fakenham	NR21 7LA	Accredited	Independent:Not for profit	small	Utilities:Gas and electricity	Still open	domus	3.0	Remoter Coastal Living	Ageing Coastal Living	/England/East of England (English Region)/Norfolk (English County)/North Norfolk (English District or Borough)	East of England (English Region)	Independent	
March And District Museum	mm.domus.SE335	March	PE15 9JJ	Accredited	Independent:Not for profit	small	Local Histories	Still open	domus	3.0	Country Living	Country Living	/England/East of England (English Region)/Cambridgeshire and Peterborough (English CA)/Fenland (English District or Borough)	East of England (English Region)	Independent	
Swaffham Museum	mm.domus.SE135	Swaffham	PE37 7DQ	Accredited	Independent:Not for profit	small	Local Histories	Still open	domus	3.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/England/East of England (English Region)/Norfolk (English County)/Breckland (English District or Borough)	East of England (English Region)	Independent	
Paycockes House & Garden	mm.domus.SE542	Colchester	CO6 1NS	Accredited	Independent:National Trust	small	Buildings:Houses:Large houses	Still open	domus	7.0	Country Living	Country Living	/England/East of England (English Region)/Essex (English County)/Braintree (English District or Borough)	East of England (English Region)	Independent	
Mildenhall And District Museum	mm.domus.SE056	Bury St Edmunds	IP28 7EX	Accredited	Independent:Not for profit	small	Local Histories	Still open	domus	7.0	Rural-Urban Fringe	Rural-Urban Fringe	/England/East of England (English Region)/Suffolk (English County)/Forest Heath (English District or Borough)	East of England (English Region)	Independent	
Prickwillow Engine Museum	mm.ace.1277	Ely	CB7 4UN	Accredited	Independent:Not for profit	small	Utilities:Water and waste	Still open	ace	4.0	Country Living	Country Living	/England/East of England (English Region)/Cambridgeshire and Peterborough (English CA)/East Cambridgeshire (English District or Borough)	East of England (English Region)	Independent	
