museum_id	twitter_action	facebook_action	correct_twitter	correct_facebook
mm.misc.139	drop	drop		
mm.wiki.114	drop	drop		
mm.New.12	drop	drop		
mm.domus.WA074	drop	drop		
mm.domus.WA009	drop	drop		
mm.mald.015	drop	drop		
mm.aim.0560	drop	drop		
mm.musa.344	drop	drop		
mm.ace.1137	drop	drop		
mm.domus.SE368	drop	drop		
mm.domus.SC252	drop	drop		
mm.domus.WM101	drop	drop		
mm.ace.042	drop	drop		
mm.domus.NI014	drop	drop		
mm.wiki.152	drop	drop		
mm.ace.1120	drop	drop		
mm.domus.NI036	drop	drop		
mm.nimc.043	drop	drop		
mm.domus.SC162	drop	drop		
mm.domus.YH122	drop	drop		
mm.domus.WA003	drop	update		https://www.facebook.com/MonLife.co.uk
mm.domus.YH077	drop	drop		
mm.domus.YH123	update	drop	https://twitter.com/WFMuseums	
mm.domus.WM080	drop	drop		
mm.domus.WA042	drop	drop		
mm.domus.SE079	drop	drop		
mm.domus.WM108	update	drop	https://twitter.com/archandheritage	
mm.domus.SE209	drop	drop		
mm.domus.SE483	drop	drop		
mm.musa.230	drop	drop		
mm.wiki.240	drop	update		https://www.facebook.com/FriendsOfTheLythamStAnnesArtCollection/
mm.misc.142	drop	drop		
mm.domus.WA045	drop	drop		
mm.ace.1246	keep	keep		
mm.domus.NW093	drop	drop		
mm.domus.NE069	drop	drop		
mm.domus.WM035	drop	drop		
mm.misc.104	drop	drop		
mm.domus.EM013	update	drop	https://twitter.com/AyscoughfeeHall	
mm.domus.SE008	drop	drop		
mm.ace.685	keep	keep		
mm.domus.SC222	drop	drop		
mm.domus.SE566	keep	keep		
mm.domus.SE316	drop	drop		
mm.aim.1093	drop	drop		
mm.wiki.131	drop	drop		
mm.domus.SW131	keep	keep		
mm.mgs.303	drop	drop		
mm.mgs.362	keep	keep		
mm.domus.SE067	keep	keep		
mm.domus.WA071	drop	drop		
mm.musa.268	drop	drop		
mm.musa.129	drop	drop		
mm.hha.014	keep	keep		
mm.domus.SE101	keep	keep		
mm.domus.SE033	keep	keep		
mm.domus.SE148	drop	drop		
mm.ace.1096	drop	drop		
mm.musa.252	drop	drop		
mm.domus.NW052	drop	drop		
mm.domus.YH149	keep	keep		
mm.domus.SE093	keep	keep		
mm.wiki.448	drop	drop		
mm.domus.YH162	drop	drop		
mm.nimc.038	drop	drop		
mm.domus.NW057	drop	drop		
mm.domus.NW134	keep	keep		
mm.domus.SC062	drop	drop		
mm.ace.1250	drop	drop		
mm.domus.SC050	keep	keep		
mm.musa.386	keep	keep		
mm.wiki.438	drop	drop		
mm.musa.130	keep	keep		
mm.misc.246	keep	keep		
mm.domus.NI027	drop	drop		
mm.misc.238	keep	keep		
mm.ace.516	keep	drop		
mm.domus.WA030	keep	keep		
mm.wiki.452	drop	drop		
mm.domus.WM025	drop	drop		
mm.mald.082	drop	drop		
mm.domus.SE341	update	update	https://twitter.com/NHRMuseum	https://www.facebook.com/NHRMuseum
mm.domus.NW011	drop	drop		
mm.domus.SC253	drop	drop		
mm.domus.NW148	keep	drop		
mm.New.108	keep	keep		
mm.hha.054	drop	drop		
mm.New.24	drop	drop		
mm.domus.WA022	keep	drop		
mm.domus.SW070	keep	keep		
mm.domus.YH043	keep	keep		
mm.mald.081	drop	drop		
mm.domus.WM111	keep	keep		
mm.domus.WA007	drop	drop		
mm.domus.SW065	keep	keep		
mm.domus.WA050	keep	keep		
mm.domus.EM106	keep	drop		
mm.domus.SE564	keep	drop		
mm.aim82NM.096	drop	drop		
mm.domus.SW066	drop	update		https://www.facebook.com/TheFolkofGloucester
mm.mgs.406	keep	drop		
mm.domus.NW181	keep	keep		
mm.ace.1200	keep	keep		
mm.domus.EM042	keep	drop		
mm.domus.NW192	keep	drop		
mm.musa.153	keep	keep		
mm.musa.031	keep	keep		
mm.domus.NW062	keep	drop		
mm.domus.SW035	keep	keep		
mm.aim.0304	keep	drop		
mm.aim.1006	keep	keep		
mm.MDN.025	keep	drop		
mm.domus.SE353	keep	drop		
mm.domus.SC239	drop	drop		
mm.mgs.044	drop	update		https://www.facebook.com/barraheritage/
mm.misc.066	drop	drop		
mm.aim.0579	keep	drop		
mm.New.141	drop	update		https://www.facebook.com/duncanedwardsfoundation/
mm.misc.193	keep	drop		
mm.musa.012	keep	drop		
mm.fcm.276	drop	drop		
mm.mgs.372	keep	drop		
mm.aim.0753	keep	keep		
mm.domus.EM063	keep	keep		
mm.domus.EM067	keep	keep		
mm.mgs.418	update	update	https://twitter.com/ForresHeritage	https://www.facebook.com/forresheritage/
mm.domus.NW069	update	update	https://twitter.com/WeaversTriangle	https://www.facebook.com/theweaverstriangle/
mm.domus.NW045	drop	drop		
mm.domus.SE358	drop	drop		
mm.mald.090	drop	drop		
mm.domus.SE051	keep	keep		
mm.domus.WM056	update	update	https://twitter.com/davythecanary	https://www.facebook.com/MuseumofCannockChase/
mm.misc.105	drop	drop		
mm.musa.140	drop	update		['https://www.facebook.com/Foresters-Heritage-Trust-1694453993970202']
mm.domus.SW148	update	update	https://twitter.com/WMusuem	https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FWinchcombeTownHall
mm.musa.220	drop	drop		
mm.domus.SE054	keep	keep		
mm.wiki.266	drop	drop		
mm.domus.SC283	keep	keep		
mm.musa.387	drop	drop		
mm.domus.SC244	keep	keep		
mm.domus.SC243	keep	keep		
mm.domus.NE041	drop	drop		
mm.domus.SE083	drop	drop		
mm.domus.SE589	keep	update		https://www.facebook.com/EssexCollection
mm.New.41	drop	drop		
mm.aim.0167	update	update	https://twitter.com/staithes_museum?lang=it	https://www.facebook.com/groups/724856611301129/
mm.domus.SE168	keep	keep		
mm.musa.290	keep	keep		
mm.wiki.059	keep	keep		
mm.domus.SC277	update	keep	['www.twitter.com/InvMAG']	
mm.ace.1241	drop	drop		
mm.domus.SC208	drop	drop		
mm.aim.0213	keep	keep		
mm.domus.WA102	drop	drop		
mm.hha.001	keep	keep		
mm.domus.SE088	keep	keep		
mm.domus.EM081	keep	keep		
mm.domus.NW182	keep	keep		
mm.musa.305	keep	keep		
mm.New.31	keep	keep		
mm.domus.SE511	keep	keep		
mm.domus.SE125	drop	drop		
mm.domus.SE337	keep	keep		
mm.domus.WM038	keep	keep		
mm.domus.SW088	keep	keep		
mm.wiki.123	keep	keep		
mm.domus.SE003	keep	keep		
