museum_id	twitter_id	facebook_pages	new_twitter	new_fb	comment_fb
mm.domus.SE118	['www.twitter.com/100bgmus', 'twitter.com/100bgmus']	['www.facebook.com/100bgmus', 'en-gb.facebook.com/100bgmus/about']			
mm.domus.SE499	twitter.com/1066battleabbey	['www.facebook.com/1066battleabbey', 'en-gb.facebook.com/1066BattleAbbey/posts']			
mm.domus.EM073	['twitter.com/1620shouse']	['www.facebook.com/1620shouse']			
mm.domus.SE329	twitter.com/18stafford	no_resource			
mm.musa.002	['www.twitter.com/19pst', 'twitter.com/19pst']	['www.facebook.com/pages/19-princelet-street/205372166165300', 'en-gb.facebook.com/19PrinceletStreet']			
mm.MDN.025	twitter.com/1940sswansea	no_resource			
mm.domus.SE524	twitter.com/2willowroadnt	no_resource			
mm.New.92	no_resource	no_resource			
mm.misc.217	['twitter.com/britflorida']	['www.facebook.com/jackie.jackson.1829']			
mm.wiki.007	no_resource	no_resource			
mm.wiki.280	no_resource	no_resource			
mm.wiki.504	['twitter.com/390thmem']	['www.facebook.com/390thmmf']		['www.facebook.com/390thmmf']	active
mm.New.34	no_resource	no_resource			
mm.wiki.475	no_resource	en-gb.facebook.com/602CityOfGlasgowSquadronMuseumAssociation			
mm.wiki.295	twitter.com/78derngate	['www.facebook.com/78derngate', 'en-gb.facebook.com/78derngate']			
mm.domus.EM048	twitter.com/lancers_museum	no_resource			
mm.domus.SW230	no_resource	['www.facebook.com/alarondent']			
mm.wiki.059	['twitter.com/discovercarlisl']	['www.facebook.com/discovercarlisle']			
mm.domus.YH005	twitter.com/abbeyhouseleeds	['www.facebook.com/abbeyhousemuseum', 'en-gb.facebook.com/AbbeyHouseMuseum']			
mm.domus.EM066	no_resource	no_resource			
mm.domus.YH023	twitter.com/abbeydalehamlet	['www.facebook.com/abbeydaleindustrialhamlet', 'en-gb.facebook.com/AbbeydaleIndustrialHamlet']			
mm.domus.NW025	no_resource	en-gb.facebook.com/abbothall			
mm.hha.153	twitter.com/abbotsfordscott	['www.facebook.com/abbotsfordscott']			
mm.mald.001	twitter.com/abervalleyhg	['www.facebook.com/visitcaerphilly', 'en-gb.facebook.com/abervalleyheritage']			
mm.domus.WA094	no_resource	en-gb.facebook.com/pages/category/Bed-and-Breakfast/Aberconwyhouse/posts			
mm.domus.SC002	twitter.com/abdnartmuseums	en-gb.facebook.com/AbdnArtMuseums			
mm.domus.SC003	twitter.com/abdnartmuseums	en-gb.facebook.com/AbdnArtMuseums/about			
mm.domus.SC187	twitter.com/aberdeensci	['www.facebook.com/aberdeensciencecentre', 'en-gb.facebook.com/aberdeensciencecentre']			
mm.domus.SC173	twitter.com/abmuseums	['www.facebook.com/aberdeenshiremuseumsservice', 'en-gb.facebook.com/AberdeenshireMuseumsService/photos/heritage-dayaberdeenshire-farming-museumaden-country-park-mintlawthis-sunday-30t/1893339097380840']			
mm.aim.0005	www.twitter.com/AberMuseum	no_resource			
mm.aim.0006	no_resource	en-gb.facebook.com/abertillerymuseum			
mm.domus.WA066	['twitter.com/aberceramics']	['www.facebook.com/aberceramics', 'en-gb.facebook.com/thebaygallery']			
mm.domus.SE170	no_resource	https://www.facebook.com/abingdonmuseum/		https://www.facebook.com/abingdonmuseum/	wrong link
mm.domus.EM001	['twitter.com/nn_bestsurprise', 'twitter.com/northamptonshoe']	['www.facebook.com/nnbestsurprise', 'www.facebook.com/abingtonmuseum', 'en-gb.facebook.com/AbingtonMuseum']			
mm.hha.051	twitter.com/actoncourt	['www.facebook.com/actoncourt', 'en-gb.facebook.com/ActonCourt']			
mm.domus.WM034	twitter.com/actonscottmuse	['www.facebook.com/actonscotthall', 'en-gb.facebook.com/ActonScottMuseum']			
mm.domus.SE434	twitter.com/agcmuseum	en-gb.facebook.com/AdjutantGeneralsCorps			
mm.hha.130	['twitter.com/adlingtonhall']	['www.facebook.com/adlingtonhall', 'en-gb.facebook.com/AdlingtonHall']			
mm.misc.234	twitter.com/bristolaero	['www.facebook.com/aerospacebristol', 'www.facebook.com/aerospacebristol', 'en-gb.facebook.com/aerospacebristol']			
mm.domus.SE413	no_resource	['www.facebook.com/brookmuseum', 'en-gb.facebook.com/pages/category/Nonprofit-Organization/Agricultural-Museum-Brook-865896220170580']			
mm.misc.195	no_resource	no_resource			
mm.domus.SE171	twitter.com/airassaultmuse	['www.facebook.com/airborneassault', 'www.facebook.com/para', 'en-gb.facebook.com/airborneassault']			
mm.domus.YH154	twitter.com/romanaldborough	no_resource			
mm.wiki.392	twitter.com/aldbournarchive	https://www.facebook.com/aldbourneheritage/		https://www.facebook.com/aldbourneheritage/	wrong link
mm.domus.SE172	twitter.com/aldeburghmuseum	['www.facebook.com/aldeburghmuseum', 'en-gb.facebook.com/AldeburghMuseum']			
mm.domus.SE176	twitter.com/Alderney_Museum	en-gb.facebook.com/AlderneyMuseum			
mm.domus.SE169	twitter.com/aldershotmuseum	['www.facebook.com/aldershotmilitarymuseum', 'en-gb.facebook.com/AldershotMilitaryMuseum']			
mm.aim.0037	no_resource	['www.facebook.com/astonmanorroadtransportmuseum', 'www.facebook.com/astonmanorroadtransportmuseum', 'en-gb.facebook.com/AstonManorRoadTransportMuseum']			
mm.musa.006	no_resource	no_resource			
mm.domus.SW193	no_resource	no_resource			
mm.wiki.456	twitter.com/alfordheritage	['www.facebook.com/alfordheritagemuseum', 'en-gb.facebook.com/AlfordHeritageMuseum']			
mm.domus.EM003	twitter.com/alfordmanor	['www.facebook.com/weststreetalford']			
mm.misc.112	no_resource	['www.facebook.com/alfordvalleyrailway', 'en-gb.facebook.com/AlfordHeritageMuseum/posts/?ref=page_internal']			
mm.fcm.001	no_resource	no_resource			
mm.domus.EM059	['www.twitter.com/kmuseumgallery', 'twitter.com/kmuseumgallery']	['www.facebook.com/ketteringmuseumandartgallery', 'en-gb.facebook.com/pages/category/Charity-Organization/FriendsKetteringArtGalleryandMuseum/posts']			
mm.hud.005	twitter.com/alfristonnt	en-gb.facebook.com/AlfristonClergyHouseNT			
mm.aim.0014	['twitter.com/allhallowstower']	['www.facebook.com/ahbtt']			
mm.domus.SE177	twitter.com/altonmuseums	['www.facebook.com/allengalleryhct', 'en-gb.facebook.com/pages/category/Art-Museum/AllenGalleryHCT/posts']			
mm.hha.117	['twitter.com/allertoncastle']	['www.facebook.com/allertoncastle']			
mm.domus.SW093	no_resource	['www.facebook.com/honiton-museum-270247493009656', 'en-gb.facebook.com/pages/category/Community-Museum/Honiton-Museum-270247493009656']			
mm.domus.SC013	twitter.com/almondvalleyhc	['www.facebook.com/almondvalleyheritage']			
mm.New.136	twitter.com/alnvalleyrail	['www.facebook.com/alnvalleyrailway', 'en-gb.facebook.com/AlnValleyRailway']			
mm.aim.0710	['www.twitter.com/alnwickcastle', 'twitter.com/alnwickcastle']	['www.facebook.com/alnwickcastle', 'en-gb.facebook.com/alnwickcastle']			
mm.aim.0018	no_resource	no_resource			
mm.hha.094	twitter.com/althorphouse	['www.facebook.com/althorphouse', 'en-gb.facebook.com/AlthorpHouse']			
mm.domus.SC016	twitter.com/CPKMuseums/status/871739076369690625	https://www.facebook.com/PerthMuseum		https://www.facebook.com/PerthMuseum	broken link or inactive
mm.domus.SE415	twitter.com/amberley_museum	['www.facebook.com/amberleymuseum', 'en-gb.facebook.com/amberleymuseum']			
mm.misc.084	no_resource	no_resource			
mm.aim.0021	no_resource	en-gb.facebook.com/pages/category/Organization/Fair-Organ-Preservation-Society-FOPS-258851229658			
mm.domus.SE578	twitter.com/amershammuseum	['www.facebook.com/amershammuseum', 'en-gb.facebook.com/AmershamMuseum']			
mm.domus.WA005	twitter.com/ceredigionmus	['www.facebook.com/amgueddfaceredigionmuseum', 'en-gb.facebook.com/amgueddfaceredigionmuseum']			
mm.domus.WA101	no_resource	no_resource			
mm.mgs.388	twitter.com/aniodhlann	['www.facebook.com/aniodhlann', 'en-gb.facebook.com/aniodhlann']			
mm.domus.SE007	no_resource	https://www.facebook.com/AssociationofAnaesthetists/		https://www.facebook.com/AssociationofAnaesthetists/	multiple links
mm.domus.SC220	no_resource	no_resource			
mm.domus.SC293	['twitter.com/teviotplace']	['www.facebook.com/anatomicalmuseumeduni', 'en-gb.facebook.com/AnatomicalMuseumEdUni']			
mm.domus.WM103	no_resource	no_resource			
mm.domus.SE116	twitter.com/ancienthousemus	en-gb.facebook.com/AncientHouseMuseum/about/?ref=page_internal			
mm.domus.SE178	twitter.com/andovermuseum	['facebook.com/ironagemuseum', 'en-gb.facebook.com/IronAgeMuseum']			
mm.domus.SC068	twitter.com/carnegiemuseum	['www.facebook.com/carnegiemuseum', 'en-gb.facebook.com/carnegiemuseum']			
mm.domus.NI030	no_resource	en-gb.facebook.com/AndrewJacksonCentre			
mm.domus.WA081	no_resource	en-gb.facebook.com/pages/category/Modern-Art-Museum/AndrewLoganMuseumofSculpture/videos			
mm.misc.243	no_resource	no_resource			
mm.domus.SE539	twitter.com/angleseyabbeynt	en-gb.facebook.com/AngleseyAbbeyNT/events			
mm.domus.NE002	no_resource	['www.facebook.com/groups/345591212524593']			
mm.domus.SC017	no_resource	['www.facebook.com/annanonline', 'en-gb.facebook.com/AnnanOnline']			
mm.domus.WM033	no_resource	no_resource			
mm.domus.SE416	twitter.com/lewescastle	['www.facebook.com/lewescastle', 'en-gb.facebook.com/pages/category/Landmark---Historical-Place/Anne-of-Cleves-House-Museum-386582791678123']			
mm.misc.259	twitter.com/breadboardmuse	['www.facebook.com/thebreadboardmuseum', 'en-gb.facebook.com/thebreadboardmuseum']			
mm.domus.SW198	no_resource	['www.facebook.com/ntantony', 'en-gb.facebook.com/NTantony']			
mm.wiki.341	['twitter.com/apedaleheritage']	['www.facebook.com/apedale', 'en-gb.facebook.com/apedale']			
mm.mgs.327	no_resource	en-gb.facebook.com/ApplecrossEvents			
mm.musa.010	['www.twitter.com/apsleyhouse', 'twitter.com/apsleyhouse']	['www.facebook.com/apsleyhouse', 'en-gb.facebook.com/ApsleyHouse']			
mm.domus.NE033	twitter.com/arbeiaromanfort	['www.facebook.com/arbeiaromanfort', 'www.facebook.com/arbeiaromanfort', 'en-gb.facebook.com/arbeiaromanfort']			
mm.domus.SC020	no_resource	['www.facebook.com/angusalivemuseums']			
mm.hha.112	no_resource	en-gb.facebook.com/events/arbury-hall/midlands-air-festival-2019/283178799042737			
mm.domus.SC024	twitter.com/abmuseums/status/1093128711140970496	no_resource			
mm.wiki.097	['twitter.com/hullmaritime']	https://www.facebook.com/HullMaritime/		https://www.facebook.com/HullMaritime/	corrected
mm.hha.016	['twitter.com/ardingtonhouse']	['www.facebook.com/ardingtonhouse1', 'en-gb.facebook.com/ardingtonhouse1']			
mm.nimc.007	no_resource	['www.facebook.com/nationaltrustmidulster']			
mm.domus.SC069	twitter.com/argyllsmuseum	['www.facebook.com/theargyllandsutherlandhighlandersregimentalmuseum', 'www.facebook.com/argyllsacf', 'www.facebook.com/visitstirlingcastle', 'en-gb.facebook.com/TheArgyllAndSutherlandHighlandersRegimentalMuseum']			
mm.hha.131	twitter.com/arleyhall	['www.facebook.com/arleyhall', 'en-gb.facebook.com/arleyhall']			
mm.domus.SW231	['twitter.com/ntarlington']	['www.facebook.com/arlingtoncourtnt', 'en-gb.facebook.com/ArlingtonCourtNT']			
mm.mgs.367	twitter.com/armadalecastle	['www.facebook.com/armadalecastleskye']			
mm.domus.NI018	twitter.com/armagh_comuseum	en-gb.facebook.com/ArmaghCountyMuseum			
mm.domus.NI022	twitter.com/armrlib	en-gb.facebook.com/ArmaghCityLibrary/posts			
mm.domus.NW073	twitter.com/armittmuseum	en-gb.facebook.com/pages/category/Nonprofit-Organization/TheArmitt/posts			
mm.New.35	twitter.com/ArmourgeddonUK/status/974324276764594176	en-gb.facebook.com/ArmourgeddonTankPaintballBattles			
mm.hha.158	['twitter.com/arnistonestate', 'twitter.com/arnistonh']	['www.facebook.com/arnistonhouseevents', 'en-gb.facebook.com/arnistonhouseevents']			
mm.domus.SC030	no_resource	['www.facebook.com/arranheritagemuseum', 'en-gb.facebook.com/arranheritagemuseum']			
mm.musa.012	no_resource	no_resource			
mm.musa.015	no_resource	no_resource			
mm.wiki.375	twitter.com/arundelcastle	['www.facebook.com/arundelcastle', 'en-gb.facebook.com/ArundelCastle']			
mm.domus.SE174	['twitter.com/musinarundel']	['www.facebook.com/arundelmuseum', 'en-gb.facebook.com/ArundelMuseum']			
mm.wiki.393	twitter.com/arundells	['www.facebook.com/arundells', 'en-gb.facebook.com/arundells']			
mm.domus.SE515	['twitter.com/ascottestate']	['www.facebook.com/ascotthouse', 'en-gb.facebook.com/ascotthouseandgardens/posts']			
mm.ace.1163	twitter.com/ashmuseum	['www.facebook.com/ashmuseum', 'en-gb.facebook.com/ashmuseum/?hc_location=ufi']			
mm.misc.058	no_resource	en-gb.facebook.com/pages/category/Community/Ashbourne-Heritage-Centre-1116158318443820			
mm.domus.SW157	no_resource	['web.facebook.com/ashburton-museum-236491660047564', 'en-gb.facebook.com/pages/category/Community-Organization/Ashburton-Fire-Museum-409799882553977']			
mm.domus.EM004	['twitter.com/ashbytcouncil', 'twitter.com/ashby_museum']	['www.facebook.com/pages/ashby-de-la-zouch-town-council/463990427018485', 'en-gb.facebook.com/ashbymuseum']			
mm.wiki.121	no_resource	no_resource			
mm.domus.SE248	no_resource	['www.facebook.com/ashfordmuseum', 'en-gb.facebook.com/ashfordmuseum/notes']			
mm.domus.SE388	no_resource	no_resource			
mm.hha.074	twitter.com/ashridgehouse	en-gb.facebook.com/ashridge.house			
mm.domus.SE173	twitter.com/ashwellmuseum	en-gb.facebook.com/AshwellMuseum			
mm.aim.0036	twitter.com/theassayoffice	['www.facebook.com/anchorcertgroup', 'en-gb.facebook.com/anchorcertgroup']			
mm.domus.NW003	no_resource	no_resource			
mm.domus.NW007	twitter.com/mining_museum	['www.facebook.com/theredrosesteamsocietyltd1']			
mm.domus.NW006	no_resource	en-gb.facebook.com/astleyhallpark/about			
mm.domus.WM065	twitter.com/astonhallmuseum	['www.facebook.com/astonhallmuseum', 'en-gb.facebook.com/AstonHallMuseum']			
mm.aim.0038	twitter.com/amht1	['en-gb.facebook.com/AstonMartinHeritageTrust']		['en-gb.facebook.com/AstonMartinHeritageTrust']	multiple links
mm.hha.042	['www.twitter.com/athelhampton', 'twitter.com/athelhampton']	['www.facebook.com/athelhampton', 'en-gb.facebook.com/Athelhampton']			
mm.domus.SW003	twitter.com/museumathelstan	['www.facebook.com/athelstanmuseum', 'en-gb.facebook.com/athelstanmuseum/about']			
