museum_id	twitter_id	facebook_pages	twitter_action	facebook_action	correct_twitter	correct_facebook	twitter_id_old	facebook_pages_old
mm.domus.SE118	['www.twitter.com/100bgmus', 'twitter.com/100bgmus']	['www.facebook.com/100bgmus', 'en-gb.facebook.com/100bgmus/about']	keep	keep				
mm.domus.SE499	twitter.com/1066battleabbey	['www.facebook.com/1066battleabbey', 'en-gb.facebook.com/1066BattleAbbey/posts']	keep	keep				
mm.domus.EM073	['twitter.com/1620shouse']	['www.facebook.com/1620shouse']	keep	keep				
mm.domus.SE329	twitter.com/18stafford	no_resource	keep	keep				
mm.musa.002	['www.twitter.com/19pst', 'twitter.com/19pst']	['www.facebook.com/pages/19-princelet-street/205372166165300', 'en-gb.facebook.com/19PrinceletStreet']	keep	keep				
mm.MDN.025	twitter.com/1940sswansea	no_resource	keep	drop				['www.facebook.com/enjoyswansea', 'www.facebook.com/1940sswanseabay', 'www.facebook.com/visitswanseabay']
mm.domus.SE524	twitter.com/2willowroadnt	no_resource	keep	keep				
mm.New.92	no_resource	no_resource	keep	keep				
mm.misc.217	['twitter.com/britflorida']	['www.facebook.com/jackie.jackson.1829']	keep	keep				
mm.wiki.007	no_resource	no_resource	keep	keep				
mm.wiki.280	no_resource	no_resource	keep	keep				
mm.wiki.504	['twitter.com/390thmem']	['www.facebook.com/390thmmf']	keep	keep				
mm.New.34	no_resource	no_resource	keep	keep				
mm.wiki.475	no_resource	en-gb.facebook.com/602CityOfGlasgowSquadronMuseumAssociation	keep	keep				
mm.wiki.295	twitter.com/78derngate	['www.facebook.com/78derngate', 'en-gb.facebook.com/78derngate']	keep	keep				
mm.domus.EM048	twitter.com/lancers_museum	no_resource	keep	keep				
mm.domus.SW230	no_resource	['www.facebook.com/alarondent']	keep	keep				
mm.wiki.059	['twitter.com/discovercarlisl']	['www.facebook.com/discovercarlisle']	keep	keep				
mm.domus.YH005	twitter.com/abbeyhouseleeds	['www.facebook.com/abbeyhousemuseum', 'en-gb.facebook.com/AbbeyHouseMuseum']	keep	keep				
mm.domus.EM066	no_resource	no_resource	keep	keep				
mm.domus.YH023	twitter.com/abbeydalehamlet	['www.facebook.com/abbeydaleindustrialhamlet', 'en-gb.facebook.com/AbbeydaleIndustrialHamlet']	keep	keep				
mm.domus.NW025	no_resource	en-gb.facebook.com/abbothall	keep	keep				
mm.hha.153	twitter.com/abbotsfordscott	['www.facebook.com/abbotsfordscott']	keep	keep				
mm.mald.001	twitter.com/abervalleyhg	['www.facebook.com/visitcaerphilly', 'en-gb.facebook.com/abervalleyheritage']	keep	keep				
mm.domus.WA094	no_resource	en-gb.facebook.com/pages/category/Bed-and-Breakfast/Aberconwyhouse/posts	keep	keep				
mm.domus.SC002	twitter.com/abdnartmuseums	en-gb.facebook.com/AbdnArtMuseums	keep	keep				
mm.domus.SC003	twitter.com/abdnartmuseums	en-gb.facebook.com/AbdnArtMuseums/about	keep	keep				
mm.domus.SC187	twitter.com/aberdeensci	['www.facebook.com/aberdeensciencecentre', 'en-gb.facebook.com/aberdeensciencecentre']	keep	keep				
mm.domus.SC173	twitter.com/abmuseums	['www.facebook.com/aberdeenshiremuseumsservice', 'en-gb.facebook.com/AberdeenshireMuseumsService/photos/heritage-dayaberdeenshire-farming-museumaden-country-park-mintlawthis-sunday-30t/1893339097380840']	keep	keep				
mm.aim.0005	www.twitter.com/AberMuseum	no_resource	keep	keep				
mm.aim.0006	no_resource	en-gb.facebook.com/abertillerymuseum	keep	keep				
mm.domus.WA066	['twitter.com/aberceramics']	['www.facebook.com/aberceramics', 'en-gb.facebook.com/thebaygallery']	keep	keep				
mm.domus.SE170	no_resource	['www.facebook.com/abingdon-on-thames-town-council-1603428299668844', 'en-gb.facebook.com/abingdoncountyhallmuseum']	drop	keep			['twitter.com/sofotrust', 'twitter.com/wallingfordmus', 'twitter.com/abingdontc', 'twitter.com/abingdonmuseum']	
mm.domus.EM001	['twitter.com/nn_bestsurprise', 'twitter.com/northamptonshoe']	['www.facebook.com/nnbestsurprise', 'www.facebook.com/abingtonmuseum', 'en-gb.facebook.com/AbingtonMuseum']	keep	keep				
mm.hha.051	twitter.com/actoncourt	['www.facebook.com/actoncourt', 'en-gb.facebook.com/ActonCourt']	keep	keep				
mm.domus.WM034	twitter.com/actonscottmuse	['www.facebook.com/actonscotthall', 'en-gb.facebook.com/ActonScottMuseum']	keep	keep				
mm.domus.SE434	twitter.com/agcmuseum	en-gb.facebook.com/AdjutantGeneralsCorps	keep	keep				
mm.hha.130	['twitter.com/adlingtonhall']	['www.facebook.com/adlingtonhall', 'en-gb.facebook.com/AdlingtonHall']	keep	keep				
mm.misc.234	twitter.com/bristolaero	['www.facebook.com/aerospacebristol', 'www.facebook.com/aerospacebristol', 'en-gb.facebook.com/aerospacebristol']	keep	keep				
mm.domus.SE413	no_resource	['www.facebook.com/brookmuseum', 'en-gb.facebook.com/pages/category/Nonprofit-Organization/Agricultural-Museum-Brook-865896220170580']	keep	keep				
mm.misc.195	no_resource	no_resource	keep	keep				
mm.domus.SE171	twitter.com/airassaultmuse	['www.facebook.com/airborneassault', 'www.facebook.com/para', 'en-gb.facebook.com/airborneassault']	keep	keep				
mm.domus.YH154	twitter.com/romanaldborough	no_resource	keep	keep				
mm.wiki.392	twitter.com/aldbournarchive	en-gb.facebook.com/aldbourneheritage/photos/i-love-the-looks-of-concentration-working-on-not-dropping-the-eggs/2108329662524529	keep	keep				
mm.domus.SE172	twitter.com/aldeburghmuseum	['www.facebook.com/aldeburghmuseum', 'en-gb.facebook.com/AldeburghMuseum']	keep	keep				
mm.domus.SE176	twitter.com/Alderney_Museum	en-gb.facebook.com/AlderneyMuseum	keep	keep				
mm.domus.SE169	twitter.com/aldershotmuseum	['www.facebook.com/aldershotmilitarymuseum', 'en-gb.facebook.com/AldershotMilitaryMuseum']	keep	keep				
mm.aim.0037	no_resource	['www.facebook.com/astonmanorroadtransportmuseum', 'www.facebook.com/astonmanorroadtransportmuseum', 'en-gb.facebook.com/AstonManorRoadTransportMuseum']	keep	keep				
mm.musa.006	no_resource	no_resource	drop	drop			['twitter.com/imperialnhs', 'twitter.com/fleminglondon']	['www.facebook.com/imperialnhs']
mm.domus.SW193	no_resource	no_resource	keep	keep				
mm.wiki.456	twitter.com/alfordheritage	['www.facebook.com/alfordheritagemuseum', 'en-gb.facebook.com/AlfordHeritageMuseum']	keep	keep				
mm.domus.EM003	twitter.com/alfordmanor	['www.facebook.com/weststreetalford']	keep	keep				
mm.misc.112	no_resource	['www.facebook.com/alfordvalleyrailway', 'en-gb.facebook.com/AlfordHeritageMuseum/posts/?ref=page_internal']	keep	keep				
mm.fcm.001	no_resource	no_resource	keep	keep				
mm.domus.EM059	['www.twitter.com/kmuseumgallery', 'twitter.com/kmuseumgallery']	['www.facebook.com/ketteringmuseumandartgallery', 'en-gb.facebook.com/pages/category/Charity-Organization/FriendsKetteringArtGalleryandMuseum/posts']	keep	keep				
mm.hud.005	twitter.com/alfristonnt	en-gb.facebook.com/AlfristonClergyHouseNT	keep	keep				
mm.aim.0014	['twitter.com/allhallowstower']	['www.facebook.com/ahbtt']	keep	keep				
mm.domus.SE177	twitter.com/altonmuseums	['www.facebook.com/allengalleryhct', 'en-gb.facebook.com/pages/category/Art-Museum/AllenGalleryHCT/posts']	keep	keep				
mm.hha.117	['twitter.com/allertoncastle']	['www.facebook.com/allertoncastle']	keep	keep				
mm.domus.SW093	no_resource	['www.facebook.com/honiton-museum-270247493009656', 'en-gb.facebook.com/pages/category/Community-Museum/Honiton-Museum-270247493009656']	keep	keep				
mm.domus.SC013	twitter.com/almondvalleyhc	['www.facebook.com/almondvalleyheritage']	keep	keep				
mm.New.136	twitter.com/alnvalleyrail	['www.facebook.com/alnvalleyrailway', 'en-gb.facebook.com/AlnValleyRailway']	keep	keep				
mm.aim.0710	['www.twitter.com/alnwickcastle', 'twitter.com/alnwickcastle']	['www.facebook.com/alnwickcastle', 'en-gb.facebook.com/alnwickcastle']	keep	keep				
mm.aim.0018	no_resource	no_resource	keep	keep				
mm.hha.094	twitter.com/althorphouse	['www.facebook.com/althorphouse', 'en-gb.facebook.com/AlthorpHouse']	keep	keep				
mm.domus.SC016	twitter.com/CPKMuseums/status/871739076369690625	en-gb.facebook.com/alythmuseum	keep	keep				
mm.domus.SE415	twitter.com/amberley_museum	['www.facebook.com/amberleymuseum', 'en-gb.facebook.com/amberleymuseum']	keep	keep				
mm.misc.084	no_resource	no_resource	keep	keep				
mm.aim.0021	no_resource	en-gb.facebook.com/pages/category/Organization/Fair-Organ-Preservation-Society-FOPS-258851229658	keep	keep				
mm.domus.SE578	twitter.com/amershammuseum	['www.facebook.com/amershammuseum', 'en-gb.facebook.com/AmershamMuseum']	keep	keep				
