museum_id	url	source
mm.hha.192	twitter.com/glenarmcastle	Both
mm.domus.WA035	twitter.com/the_waterfront	ML
mm.domus.NE053	['twitter.com/dumuseums', 'twitter.com/arcdurham']	Scrape
mm.domus.NE057	twitter.com/gnm_hancock	Both
mm.ace.1198	twitter.com/thelightbox	Both
mm.musa.053	twitter.com/bodmingeneral	Both
mm.domus.SE274	['twitter.com/freudmuslondon']	Scrape
mm.aim.0545	no_resource	no_resource
mm.ace.1244	no_resource	no_resource
mm.domus.SC268	no_resource	no_resource
mm.musa.212	no_resource	no_resource
mm.aim.0112	twitter.com/bd1policemuseum	Both
mm.wiki.424	['twitter.com/harleyabingdon']	Scrape
mm.hha.039	no_resource	no_resource
mm.musa.255	no_resource	no_resource
mm.domus.SW152	twitter.com/brauntonparish	ML
mm.ace.1152	no_resource	no_resource
mm.domus.YH029	twitter.com/jorvikviking	Both
mm.domus.SE042	['twitter.com/inkingstonuk', 'twitter.com/rbkheritage']	Scrape
mm.hha.065	no_resource	no_resource
mm.misc.225	twitter.com/crichton_royal	ML
mm.domus.NW163	no_resource	no_resource
mm.domus.SC062	['twitter.com/argyllandbute']	Scrape
mm.domus.WM033	no_resource	no_resource
mm.domus.WM106	no_resource	no_resource
mm.domus.WM125	no_resource	no_resource
mm.domus.SW128	twitter.com/salisburymuseum	Both
mm.domus.NW157	twitter.com/crhs	ML
mm.domus.WM144	no_resource	no_resource
mm.domus.SW072	twitter.com/rj_museum	ML
mm.misc.220	no_resource	no_resource
mm.mgs.415	no_resource	no_resource
mm.aim82M.061	no_resource	no_resource
mm.wiki.169	twitter.com/royalmewslondon	ML
mm.domus.WM017	['twitter.com/oisinthedeer']	Scrape
mm.domus.SW189	twitter.com/nothefort	Both
mm.domus.SE604	no_resource	no_resource
mm.domus.WM037	['twitter.com/warwickarts']	Scrape
mm.domus.SC154	no_resource	no_resource
mm.musa.247	no_resource	no_resource
mm.wiki.286	no_resource	no_resource
mm.fcm.204	no_resource	no_resource
mm.domus.NW031	twitter.com/steammuseum	Both
mm.wiki.191	no_resource	no_resource
mm.domus.SC148	no_resource	no_resource
mm.wiki.283	no_resource	no_resource
