mm_id	mm_name	website	facebook	twitter	instagram	funding_website	attr_ace_erf	attr_mgs_rrf	attr_wcrf	attr_fundraising	attr_redundancies	attr_grant	attr_closure
mm.ace.022	Norton Priory Museum And Gardens	https://www.nortonpriory.org/	https://www.facebook.com/NortonPriory	https://twitter.com/NortonPriory			1						
mm.ace.1098	British Schools Museum	https://britishschoolsmuseum.org.uk/					1						
mm.ace.1111	Jane Austens House	https://janeaustens.house/please-support-our-survival-appeal/	https://www.facebook.com/JaneAustensHouseMuseum/	https://twitter.com/JaneAustenHouse		https://www.justgiving.com/campaign/janeaustenshouse-COVID19appeal							
mm.ace.1189	Bailiffgate Museum	https://bailiffgatemuseum.co.uk/					1						
mm.ace.1229	Chasewater Railway Museum	https://www.chasewaterrailway.co.uk/	https://www.facebook.com/ChasewaterRailway	https://twitter.com/ChasewaterRail	https://www.instagram.com/chasewater_railway/		1						
mm.ace.1235	Brading Roman Villa	https://bradingromanvilla.org.uk/					1						
mm.aim.0172	Museum of Carpet	https://museumofcarpet.org/	https://www.facebook.com/museumofcarpet/	https://twitter.com/MuseumofCarpet									
mm.aim.0337	National Emergency Services Museum	https://www.visitnesm.org.uk/support	https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FNESMUSEUM%2F	https://twitter.com/NESMUSEUM									
mm.domus.EM041	Louth Museum	https://www.louthmuseum.org.uk/	https://www.facebook.com/Louth-Museum-463899553697940/			https://www.crowdfunder.co.uk/keep-us-going	1			1			
mm.domus.EM081	Creswell Crags Museum and Visitor Centre	https://www.creswell-crags.org.uk/2020/03/23/creswell-crags-under-threat-of-permanent-closure/	https://www.facebook.com/creswellcrags/	https://twitter.com/creswellcrags									
mm.domus.NE016	Vindolanda	https://www.vindolanda.com/	https://www.facebook.com/TheVindolandaTrust	https://twitter.com/VindolandaTrust	https://www.instagram.com/officialvindolandatrust/		1						
mm.domus.NE049	Cleveland Ironstone Mining Museum	https://ironstonemuseum.co.uk/	https://www.facebook.com/cimmuseum/	http://twitter.com/VisitCIMM/			1						
mm.domus.NW113	Peoples History Museum		https://www.facebook.com/PHMMcr	https://www.twitter.com/PHMMcr	https://www.instagram.com/phmmcr	https://www.crowdfunder.co.uk/futurephm				1			
mm.domus.NW115	The Fusilier Museum	https://www.fusiliermuseum.com/	http://www.facebook.com/pages/The-Fusilier-Museum-Lancashire/173363989470	http://twitter.com/FusilierMuseum			1						
mm.domus.NW153	"Railway Museum, Ravenglass"	https://ravenglass-railway.co.uk/plan-visit/things-to-do/museum/	http://www.facebook.com/Ravenglass.Eskdale.Railway	http://twitter.com/rersteam	https://instagram.com/rersteam/		1						
mm.domus.SC181	Discovery Point		https://www.facebook.com/DiscoveryPointandRRSDiscovery/	https://twitter.com/DiscoveryDundee									
mm.domus.SC188	Scottish Fisheries Museum	https://www.scotfishmuseum.org/index.php	https://www.facebook.com/pages/The-Scottish-Fisheries-Museum/168840906463849?ref=hl	http://www.twitter.com/scotfishmuseum				1					
mm.domus.SC200	Ullapool Museum And Visitor Centre	https://ullapoolmuseum.co.uk/	https://www.facebook.com/UllapoolMuseum/?epa=SEARCH_BOX	https://twitter.com/UllapoolMuseum				1					
mm.domus.SE021	Florence Nightingale Museum	https://www.florence-nightingale.co.uk/	https://www.facebook.com/florencenightingalemuseum	https://twitter.com/florencemuseum	https://www.instagram.com/florencemuseum/								1
mm.domus.SE099	Fishbourne Roman Palace	https://sussexpast.co.uk/properties-to-discover/fishbourne-roman-palace	https://www.facebook.com/fishbourneromanpalace/	https://twitter.com/romanpalace									
mm.domus.SE139	Priest House	https://sussexpast.co.uk/properties-to-discover/the-priest-house	https://www.facebook.com/thepriesthousewesthoathly/										
mm.domus.SE192	Bexhill Museum	https://www.bexhillmuseum.org.uk/	https://www.facebook.com/BexhillMuseum	https://twitter.com/bexhillmuseum	https://www.instagram.com/bexhill_museum/		1						
mm.domus.SE202	Buckinghamshire Railway Centre	https://bucksrailcentre.org/product.php/69/	https://www.facebook.com/BucksRailCentre/										
mm.domus.SE232	Charleston	https://www.charleston.org.uk/charleston-emergency-appeal/#	https://www.facebook.com/CharlestonTrust/	https://twitter.com/charlestonhouse		https://www.artfund.org/get-involved/art-happens/reopen-charleston							
mm.domus.SE243	Crystal Palace Museum	https://www.crystalpalacemuseum.org.uk/	https://www.facebook.com/TheCrystalPalaceMuseum/	https://mobile.twitter.com/crystalpmuseum	https://www.instagram.com/crystalpalacemuseum/		1						
