google_rank	url	domain	search	search_type	ts	muse_id	Museum_Name	Valid	location	year_closed
1	https://www.english-heritage.org.uk/visit/places/1066-battle-of-hastings-abbey-and-battlefield/	www.english-heritage.org.uk	"1066 Battle Of Hastings, Battle Abbey And Battlefield"	website	21/01/2021 16:25	mm.domus.SE499	"1066 Battle Of Hastings, Battle Abbey And Battlefield"	TRUE	Battle	9999:9999
2	https://www.history.com/this-day-in-history/the-battle-of-hastings	www.history.com	"1066 Battle Of Hastings, Battle Abbey And Battlefield"	website	21/01/2021 16:25	mm.domus.SE499	"1066 Battle Of Hastings, Battle Abbey And Battlefield"	FALSE	Battle	9999:9999
3	https://www.english-heritage.org.uk/learn/1066-and-the-norman-conquest/what-happened-battle-hastings/	www.english-heritage.org.uk	"1066 Battle Of Hastings, Battle Abbey And Battlefield"	website	21/01/2021 16:25	mm.domus.SE499	"1066 Battle Of Hastings, Battle Abbey And Battlefield"	FALSE	Battle	9999:9999
1	https://www.battlesbridge.com/motorcycle-museum	www.battlesbridge.com	Battlesbridge Motorcycle Museum	website	29/01/2021 12:25	mm.musa.035	Battlesbridge Motorcycle Museum	TRUE	Battlesbridge	9999:9999
2	https://www.battlesbridgemotorcyclemuseum.co.uk/	www.battlesbridgemotorcyclemuseum.co.uk	Battlesbridge Motorcycle Museum	website	29/01/2021 12:25	mm.musa.035	Battlesbridge Motorcycle Museum	TRUE	Battlesbridge	9999:9999
3	https://battlesbridge.cylex-uk.co.uk/company/the-battlesbridge-motorcycle-museum-14651620.html	battlesbridge.cylex-uk.co.uk	Battlesbridge Motorcycle Museum	website	29/01/2021 12:25	mm.musa.035	Battlesbridge Motorcycle Museum	FALSE	Battlesbridge	9999:9999
1	https://bloxhammuseum.com/	bloxhammuseum.com	Bloxham Village Museum	website	29/01/2021 13:21	mm.domus.SE198	Bloxham Village Museum	TRUE	Banbury	9999:9999
2	https://fisd.oxfordshire.gov.uk/kb5/oxfordshire/directory/service.page?id=9cUuMrCxScA	fisd.oxfordshire.gov.uk	Bloxham Village Museum	website	29/01/2021 13:21	mm.domus.SE198	Bloxham Village Museum	FALSE	Banbury	9999:9999
3	https://whichmuseum.com/england/bloxham/bloxham-village-museum	whichmuseum.com	Bloxham Village Museum	website	29/01/2021 13:21	mm.domus.SE198	Bloxham Village Museum	FALSE	Banbury	9999:9999
1	https://www.angusalive.scot/museums-galleries/visit-a-museum-gallery/brechin-town-house-museum/	www.angusalive.scot	Brechin Museum	website	29/01/2021 13:50	mm.domus.SC023	Brechin Museum	TRUE	Brechin	9999:9999
2	https://www.visitscotland.com/info/see-do/brechin-town-house-museum-p1196661	www.visitscotland.com	Brechin Museum	website	29/01/2021 13:50	mm.domus.SC023	Brechin Museum	FALSE	Brechin	9999:9999
3	https://visitangus.com/brechin-town-house-museum/	visitangus.com	Brechin Museum	website	29/01/2021 13:50	mm.domus.SC023	Brechin Museum	FALSE	Brechin	9999:9999
